r	c	alpha	beta	M	Q_A2	Pi_A2	Time_A2
2	1.8	20	2	2	5	3.3577004	3164
2	1.7	20	2	2	6	5.7309963	5145
2	1.6	20	2	2	7	8.3582399	8149
2	1.5	20	2	2	7	11.209103	10128
2	1.4	20	2	2	8	14.291568	13388
2	1.3	20	2	2	8	17.543308	17384
2	1.2	20	2	2	9	21.002169	19813
2	1.1	20	2	2	9	24.624902	26208
2	1	20	2	2	10	28.436962	36560
2	0.9	20	2	2	10	32.431251	40485
2	0.8	20	2	2	11	36.607513	55542
2	0.7	20	2	2	11	40.983519	65447
2	0.6	20	2	2	12	45.565071	85489
2	0.5	20	2	2	12	50.351392	108434
2	0.4	20	2	2	13	55.415303	150221
2	0.3	20	2	2	14	60.757644	214574
2	0.2	20	2	2	15	66.457081	302495
2	1.8	10	1	2	5	3.0448847	3594
2	1.7	10	1	2	6	5.2878931	7600
2	1.6	10	1	2	6	7.8156219	8545
2	1.5	10	1	2	7	10.611855	12610
2	1.4	10	1	2	8	13.595524	25460
2	1.3	10	1	2	8	16.820915	24279
2	1.2	10	1	2	9	20.215041	45721
2	1.1	10	1	2	9	23.822831	42811
2	1	10	1	2	10	27.607445	79853
2	0.9	10	1	2	10	31.594667	73414
2	0.8	10	1	2	11	35.780457	100456
2	0.7	10	1	2	11	40.160309	121763
2	0.6	10	1	2	12	44.784198	178034
2	0.5	10	1	2	13	49.631266	266651
2	0.4	10	1	2	14	54.745637	397804
2	0.3	10	1	2	15	60.179499	514758
2	0.2	10	1	2	16	66.006074	780830
2	1.8	5	0.5	2	4	2.5917705	2532
2	1.7	5	0.5	2	5	4.7049202	5105
2	1.6	5	0.5	2	6	7.1271891	12079
2	1.5	5	0.5	2	7	9.7973762	21458
2	1.4	5	0.5	2	7	12.730315	21682
2	1.3	5	0.5	2	8	15.866066	46001
2	1.2	5	0.5	2	8	19.212794	45526
2	1.1	5	0.5	2	9	22.782031	76031
2	1	5	0.5	2	10	26.531314	136145
2	0.9	5	0.5	2	10	30.512542	124717
2	0.8	5	0.5	2	11	34.7041	190568
2	0.7	5	0.5	2	12	39.106912	365130
2	0.6	5	0.5	2	12	43.751511	361166
2	0.5	5	0.5	2	13	48.665524	554957
2	0.4	5	0.5	2	14	53.86681	807381
2	0.3	5	0.5	2	16	59.416562	1489944
2	0.2	5	0.5	2	17	65.392723	2299493
2	1.8	2.5	0.25	2	4	2.0177523	3755
2	1.7	2.5	0.25	2	4	3.9458837	6074
2	1.6	2.5	0.25	2	5	6.2317856	12669
2	1.5	2.5	0.25	2	6	8.8018149	25975
2	1.4	2.5	0.25	2	7	11.608394	49320
2	1.3	2.5	0.25	2	7	14.672546	54842
2	1.2	2.5	0.25	2	8	17.96304	98664
2	1.1	2.5	0.25	2	9	21.461812	172258
2	1	2.5	0.25	2	9	25.182771	171025
2	0.9	2.5	0.25	2	10	29.144875	319074
2	0.8	2.5	0.25	2	11	33.331179	496859
2	0.7	2.5	0.25	2	12	37.756658	827494
2	0.6	2.5	0.25	2	13	42.441085	1258772
2	0.5	2.5	0.25	2	14	47.416892	1499417
2	0.4	2.5	0.25	2	16	52.699755	3321329
2	0.3	2.5	0.25	2	17	58.390251	4072069
2	0.2	2.5	0.25	2	20	64.562243	11252885
2	1.8	1.25	0.125	2	3	1.3360437	6372
2	1.7	1.25	0.125	2	4	3.0451639	18461
2	1.6	1.25	0.125	2	4	5.1490313	25615
2	1.5	1.25	0.125	2	5	7.5794834	49174
2	1.4	1.25	0.125	2	6	10.271292	101508
2	1.3	1.25	0.125	2	7	13.209081	170156
2	1.2	1.25	0.125	2	7	16.404872	196813
2	1.1	1.25	0.125	2	8	19.842157	377959
2	1	1.25	0.125	2	9	23.515428	611501
2	0.9	1.25	0.125	2	10	27.425921	961373
2	0.8	1.25	0.125	2	11	31.592661	1290410
2	0.7	1.25	0.125	2	12	36.003096	1866931
2	0.6	1.25	0.125	2	13	40.717425	2868293
2	0.5	1.25	0.125	2	15	45.751491	5980965
2	0.4	1.25	0.125	2	17	51.146917	9924468
2	0.3	1.25	0.125	2	19	56.977551	12845034
2	0.2	1.25	0.125	2	23	63.384221	30612842
2	1.8	0.625	0.0625	2	2	0.63219898	89963
2	1.7	0.625	0.0625	2	3	2.0763781	96507
2	1.6	0.625	0.0625	2	3	3.9890833	64946
2	1.5	0.625	0.0625	2	4	6.2375127	300992
2	1.4	0.625	0.0625	2	5	8.7739208	560752
2	1.3	0.625	0.0625	2	6	11.577934	1047225
2	1.2	0.625	0.0625	2	7	14.627264	1677535
2	1.1	0.625	0.0625	2	7	17.93692	1831002
2	1	0.625	0.0625	2	8	21.492703	2427491
2	0.9	0.625	0.0625	2	10	25.295273	6339309
2	0.8	0.625	0.0625	2	11	29.399713	8693104
2	0.7	0.625	0.0625	2	12	33.789727	12444572
2	0.6	0.625	0.0625	2	14	38.485371	18760817
2	0.5	0.625	0.0625	2	16	43.53173	36578101
2	0.4	0.625	0.0625	2	19	48.999598	83538550
2	0.3	0.625	0.0625	2	22	54.981069	105975261
2	0.2	0.625	0.0625	2	27	61.65122	236464162
2	1.8	40	2	2	13	9.2101342	51245
2	1.7	40	2	2	14	14.859224	88617
2	1.6	40	2	2	15	20.922305	113152
2	1.5	40	2	2	16	27.330561	160793
2	1.4	40	2	2	17	34.041999	207884
2	1.3	40	2	2	18	41.02546	251241
2	1.2	40	2	2	18	48.274968	301432
2	1.1	40	2	2	19	55.804782	368105
2	1	40	2	2	20	63.577326	444105
2	0.9	40	2	2	20	71.602458	475420
2	0.8	40	2	2	21	79.912607	637435
2	0.7	40	2	2	22	88.482398	739810
2	0.6	40	2	2	23	97.33283	930917
