r	c	alpha	beta	M	Q_A2m	Pi_A2m	Time_A2m
2	1.8	20	2	2	5	3.3576972	4142
2	1.7	20	2	2	6	5.7309963	6419
2	1.6	20	2	2	7	8.358229	9210
2	1.5	20	2	2	7	11.206972	10567
2	1.4	20	2	2	8	14.291274	16725
2	1.3	20	2	2	8	17.542995	17967
2	1.2	20	2	2	9	21.001896	27049
2	1.1	20	2	2	9	24.624565	25626
2	1	20	2	2	10	28.436635	42153
2	0.9	20	2	2	10	32.430724	49707
2	0.8	20	2	2	11	36.607512	74143
2	0.7	20	2	2	11	40.983519	71712
2	0.6	20	2	2	12	45.565015	112104
2	0.5	20	2	2	12	50.351384	137647
2	0.4	20	2	2	13	55.415302	214825
2	0.3	20	2	2	14	60.757637	312373
2	0.2	20	2	2	15	66.457078	455398
2	1.8	10	1	2	5	3.0447167	0
2	1.7	10	1	2	5	5.2499819	0
2	1.6	10	1	2	6	7.8150267	0
2	1.5	10	1	2	7	10.610915	0
2	1.4	10	1	2	7	13.582423	0
2	1.3	10	1	2	8	16.817253	0
2	1.2	10	1	2	8	20.181356	0
2	1.1	10	1	2	9	23.822652	0
2	1	10	1	2	10	27.607405	0
2	0.9	10	1	2	10	31.594646	0
2	0.8	10	1	2	11	35.780089	64114
2	0.7	10	1	2	11	40.159803	66446
2	0.6	10	1	2	12	44.783731	103197
2	0.5	10	1	2	13	49.631221	174326
2	0.4	10	1	2	14	54.745369	244204
2	0.3	10	1	2	15	60.179473	372725
2	0.2	10	1	2	16	66.005865	608209
2	1.8	5	0.5	2	4	2.5806367	1521
2	1.7	5	0.5	2	5	4.7035265	3458
2	1.6	5	0.5	2	5	7.0589555	4254
2	1.5	5	0.5	2	6	9.7808709	8942
2	1.4	5	0.5	2	7	12.729736	15564
2	1.3	5	0.5	2	7	15.811027	17195
2	1.2	5	0.5	2	8	19.210409	32956
2	1.1	5	0.5	2	9	22.781187	54818
2	1	5	0.5	2	9	26.514847	62940
2	0.9	5	0.5	2	10	30.509599	99457
2	0.8	5	0.5	2	11	34.703409	165041
2	0.7	5	0.5	2	11	39.086751	195707
2	0.6	5	0.5	2	12	43.751465	320730
2	0.5	5	0.5	2	13	48.665375	511870
2	0.4	5	0.5	2	14	53.865909	792400
2	0.3	5	0.5	2	16	59.416555	1470144
2	0.2	5	0.5	2	17	65.392713	2369723
2	1.8	2.5	0.25	2	2	1.8556819	556
2	1.7	2.5	0.25	2	3	3.7282432	1511
2	1.6	2.5	0.25	2	4	6.0695768	3125
2	1.5	2.5	0.25	2	5	8.7089738	7679
2	1.4	2.5	0.25	2	6	11.581268	13825
2	1.3	2.5	0.25	2	6	14.539311	18481
2	1.2	2.5	0.25	2	7	17.887101	38353
2	1.1	2.5	0.25	2	8	21.434348	62752
2	1	2.5	0.25	2	9	25.180631	104344
2	0.9	2.5	0.25	2	9	29.056544	126282
2	0.8	2.5	0.25	2	10	33.270155	216902
2	0.7	2.5	0.25	2	11	37.713387	374719
2	0.6	2.5	0.25	2	12	42.398961	573229
2	0.5	2.5	0.25	2	14	47.415914	1206655
2	0.4	2.5	0.25	2	15	52.697548	1887907
2	0.3	2.5	0.25	2	17	58.390169	3477292
2	0.2	2.5	0.25	2	19	64.555353	6682099
2	1.8	1.25	0.125	2	1	0.97222736	156
2	1.7	1.25	0.125	2	2	2.7032536	647
2	1.6	1.25	0.125	2	2	4.4667179	971
2	1.5	1.25	0.125	2	3	7.0349728	2632
2	1.4	1.25	0.125	2	4	9.8520692	5951
2	1.3	1.25	0.125	2	5	12.969916	14867
2	1.2	1.25	0.125	2	5	15.936115	21690
2	1.1	1.25	0.125	2	6	19.480873	47350
2	1	1.25	0.125	2	7	23.225332	81469
2	0.9	1.25	0.125	2	8	27.191817	146701
2	0.8	1.25	0.125	2	10	31.53816	356222
2	0.7	1.25	0.125	2	11	35.947716	585789
2	0.6	1.25	0.125	2	12	40.6432	948399
2	0.5	1.25	0.125	2	14	45.717191	1974214
2	0.4	1.25	0.125	2	16	51.125147	3768132
2	0.3	1.25	0.125	2	19	56.97681	8279856
2	0.2	1.25	0.125	2	23	63.384102	20734956
2	1.8	0.625	0.0625	2	0	0	0
2	1.7	0.625	0.0625	2	0	0	0
2	1.6	0.625	0.0625	2	1	2.8363405	208
2	1.5	0.625	0.0625	2	1	4.5903133	559
2	1.4	0.625	0.0625	2	2	7.6324815	2287
2	1.3	0.625	0.0625	2	3	10.778548	6616
2	1.2	0.625	0.0625	2	3	13.441785	9704
2	1.1	0.625	0.0625	2	4	16.983912	24879
2	1	0.625	0.0625	2	5	20.740131	61041
2	0.9	0.625	0.0625	2	6	24.602599	110558
2	0.8	0.625	0.0625	2	8	29.028096	297958
2	0.7	0.625	0.0625	2	9	33.356778	521548
2	0.6	0.625	0.0625	2	11	38.239658	1194188
2	0.5	0.625	0.0625	2	14	43.44267	2947090
2	0.4	0.625	0.0625	2	17	48.959213	6919741
2	0.3	0.625	0.0625	2	21	54.9653	17097620
2	0.2	0.625	0.0625	2	26	61.638813	45769915
2	1.8	40	2	2	13	9.2097899	156142
2	1.7	40	2	2	14	14.859214	241062
2	1.6	40	2	2	15	20.922275	287017
2	1.5	40	2	2	16	27.330289	380880
2	1.4	40	2	2	17	34.041957	487247
2	1.3	40	2	2	18	41.025387	520360
2	1.2	40	2	2	18	48.274612	637009
2	1.1	40	2	2	19	55.804711	791977
2	1	40	2	2	20	63.577157	933485
2	0.9	40	2	2	20	71.602422	1051640
2	0.8	40	2	2	21	79.912409	1309272
2	0.7	40	2	2	22	88.482382	1655119
2	0.6	40	2	2	23	97.332406	2070149
2	0.5	40	2	2	23	106.48867	2430014
2	0.4	40	2	2	24	116.00315	3172099
2	0.3	40	2	2	26	125.92467	4428939
2	0.2	40	2	2	27	136.32827	5974430
2	1.8	20	1	2	12	8.7157315	78763
2	1.7	20	1	2	14	14.213615	153354
2	1.6	20	1	2	15	20.134993	210376
2	1.5	20	1	2	16	26.416921	294564
2	1.4	20	1	2	16	33.006834	326525
2	1.3	20	1	2	17	39.932644	441311
2	1.2	20	1	2	18	47.13954	594367
2	1.1	20	1	2	19	54.622291	778497
2	1	20	1	2	20	62.372039	1018031
2	0.9	20	1	2	20	70.392224	1106781
2	0.8	20	1	2	21	78.713775	1495408
2	0.7	20	1	2	22	87.323061	1983514
2	0.6	20	1	2	23	96.235324	2521590
2	0.5	20	1	2	24	105.48097	3360894
2	0.4	20	1	2	25	115.09557	4614720
2	0.3	20	1	2	27	125.13982	6688844
2	0.2	20	1	2	28	135.71623	9393307
2	1.8	10	0.5	2	11	8.0644789	52279
2	1.7	10	0.5	2	12	13.318349	89611
2	1.6	10	0.5	2	13	19.042623	147217
2	1.5	10	0.5	2	14	25.17241	224199
2	1.4	10	0.5	2	15	31.663387	333727
2	1.3	10	0.5	2	16	38.4828	463305
2	1.2	10	0.5	2	17	45.614544	646854
2	1.1	10	0.5	2	18	53.045921	925799
2	1	10	0.5	2	19	60.77529	1263085
2	0.9	10	0.5	2	20	68.798942	1640141
2	0.8	10	0.5	2	21	77.127425	2203621
2	0.7	10	0.5	2	22	85.77169	3057603
2	0.6	10	0.5	2	23	94.747691	4111508
2	0.5	10	0.5	2	25	104.11209	6331763
2	0.4	10	0.5	2	26	113.8571	8601995
2	0.3	10	0.5	2	28	124.08447	13094127
2	0.2	10	0.5	2	30	134.88851	21091589
2	1.8	5	0.25	2	9	7.1488245	25669
2	1.7	5	0.25	2	10	12.088729	49541
2	1.6	5	0.25	2	11	17.581707	89291
2	1.5	5	0.25	2	13	23.625709	191248
2	1.4	5	0.25	2	14	29.956926	313667
2	1.3	5	0.25	2	15	36.636382	469170
2	1.2	5	0.25	2	16	43.648591	661231
2	1.1	5	0.25	2	17	50.997447	982659
2	1	5	0.25	2	19	58.736892	1711643
2	0.9	5	0.25	2	20	66.731149	2306631
2	0.8	5	0.25	2	21	75.056638	3292787
2	0.7	5	0.25	2	22	83.721774	4553186
2	0.6	5	0.25	2	24	92.8078	7210630
2	0.5	5	0.25	2	26	102.27642	11565776
2	0.4	5	0.25	2	28	112.1904	17857760
2	0.3	5	0.25	2	30	122.63084	27723505
2	0.2	5	0.25	2	33	133.73749	48598833
2	1.8	2.5	0.125	2	6	5.737888	7368
2	1.7	2.5	0.125	2	7	10.265102	18178
2	1.6	2.5	0.125	2	9	15.651626	50681
2	1.5	2.5	0.125	2	10	21.312939	93828
2	1.4	2.5	0.125	2	12	27.613007	219189
2	1.3	2.5	0.125	2	13	34.105642	370566
2	1.2	2.5	0.125	2	14	40.958005	572131
2	1.1	2.5	0.125	2	16	48.326167	1053281
2	1	2.5	0.125	2	17	55.894454	1574895
2	0.9	2.5	0.125	2	19	63.93301	2786780
2	0.8	2.5	0.125	2	21	72.305689	4656919
2	0.7	2.5	0.125	2	22	80.9734	6569317
2	0.6	2.5	0.125	2	25	90.177131	12408251
2	0.5	2.5	0.125	2	27	99.761851	19910236
2	0.4	2.5	0.125	2	30	109.87447	34795698
2	0.3	2.5	0.125	2	33	120.58502	60234104
2	0.2	2.5	0.125	2	38	132.0871	163123742
2	1.8	1.25	0.0625	2	3	3.5910058	1229
2	1.7	1.25	0.0625	2	4	7.6783091	4395
2	1.6	1.25	0.0625	2	5	12.363524	11966
2	1.5	1.25	0.0625	2	7	18.160336	42524
2	1.4	1.25	0.0625	2	8	23.917724	80207
2	1.3	1.25	0.0625	2	10	30.513105	204105
2	1.2	1.25	0.0625	2	11	37.091737	327128
2	1.1	1.25	0.0625	2	13	44.43656	748669
2	1	1.25	0.0625	2	15	52.060655	1410720
2	0.9	1.25	0.0625	2	17	60.04503	2635995
2	0.8	1.25	0.0625	2	19	68.384616	4697980
2	0.7	1.25	0.0625	2	22	77.252776	9276469
2	0.6	1.25	0.0625	2	24	86.419863	15287815
2	0.5	1.25	0.0625	2	28	96.242617	31995395
2	0.4	1.25	0.0625	2	32	106.58756	62236357
2	0.3	1.25	0.0625	2	37	117.64527	89723000
2	0.2	1.25	0.0625	2	44	129.64235	216520183
2	1.8	60	2	2	22	15.563806	1082268
2	1.7	60	2	2	23	24.679777	1360532
2	1.6	60	2	2	24	34.297437	1684481
2	1.5	60	2	2	25	44.345022	2233712
2	1.4	60	2	2	26	54.777361	2445304
2	1.3	60	2	2	27	65.560805	2941908
2	1.2	60	2	2	28	76.676243	3410979
2	1.1	60	2	2	29	88.111004	4150855
2	1	60	2	2	30	99.858051	5054991
2	0.9	60	2	2	31	111.91864	6015736
2	0.8	60	2	2	31	124.30226	6486331
2	0.7	60	2	2	32	137.02677	7995514
2	0.6	60	2	2	33	150.09917	9089846
2	0.5	60	2	2	34	163.54491	11012329
2	0.4	60	2	2	36	177.41053	14041585
2	0.3	60	2	2	37	191.7636	17324638
2	0.2	60	2	2	39	206.70023	22989417
2	1.8	30	1	2	20	14.938282	775141
2	1.7	30	1	2	22	23.852394	1248107
2	1.6	30	1	2	23	33.286322	1643306
2	1.5	30	1	2	25	43.203855	2212507
2	1.4	30	1	2	26	53.516542	2782364
2	1.3	30	1	2	27	64.206448	3529453
2	1.2	30	1	2	28	75.250579	4445288
2	1.1	30	1	2	29	86.63843	5099739
2	1	30	1	2	30	98.367458	5676619
2	0.9	30	1	2	30	110.40936	6461774
2	0.8	30	1	2	31	122.82519	8660963
2	0.7	30	1	2	33	135.61539	12585664
2	0.6	30	1	2	34	148.76132	15904117
2	0.5	30	1	2	35	162.30964	19666461
2	0.4	30	1	2	36	176.29972	24623866
2	0.3	30	1	2	38	190.82179	28440561
2	0.2	30	1	2	40	205.97293	38237833
2	1.8	15	0.5	2	19	14.140246	556084
2	1.7	15	0.5	2	20	22.747141	846840
2	1.6	15	0.5	2	22	31.986449	1441471
2	1.5	15	0.5	2	23	41.683224	2110933
2	1.4	15	0.5	2	24	51.818761	2662702
2	1.3	15	0.5	2	26	62.42361	4112888
2	1.2	15	0.5	2	27	73.369586	5174291
2	1.1	15	0.5	2	28	84.691349	6590126
2	1	15	0.5	2	29	96.381155	8106886
2	0.9	15	0.5	2	30	108.4343	9937059
2	0.8	15	0.5	2	32	120.89956	14055190
2	0.7	15	0.5	2	33	133.72268	17153068
2	0.6	15	0.5	2	34	146.94614	21571084
2	0.5	15	0.5	2	36	160.63845	30787095
2	0.4	15	0.5	2	38	174.80836	40266847
2	0.3	15	0.5	2	40	189.54549	55836333
2	0.2	15	0.5	2	43	204.98248	85594918
2	1.8	7.5	0.25	2	16	13.02862	338182
2	1.7	7.5	0.25	2	18	21.317538	695025
2	1.6	7.5	0.25	2	20	30.273741	1295943
2	1.5	7.5	0.25	2	21	39.714253	1837491
2	1.4	7.5	0.25	2	23	49.707689	2966923
2	1.3	7.5	0.25	2	24	60.083944	4007466
2	1.2	7.5	0.25	2	26	70.944412	6195975
2	1.1	7.5	0.25	2	27	82.16185	8391967
2	1	7.5	0.25	2	29	93.821648	12536615
2	0.9	7.5	0.25	2	30	105.84824	16188764
2	0.8	7.5	0.25	2	32	118.32009	23388299
2	0.7	7.5	0.25	2	33	131.18359	30222650
2	0.6	7.5	0.25	2	35	144.53625	43236250
2	0.5	7.5	0.25	2	37	158.37068	60495395
2	0.4	7.5	0.25	2	40	172.76569	77714826
2	0.3	7.5	0.25	2	43	187.78836	120121085
2	0.2	7.5	0.25	2	46	203.59961	187924876
2	1.8	3.75	0.125	2	12	11.34147	113373
2	1.7	3.75	0.125	2	14	19.16621	279962
2	1.6	3.75	0.125	2	16	27.737159	570382
2	1.5	3.75	0.125	2	18	36.975356	1212561
2	1.4	3.75	0.125	2	20	46.740933	2113452
2	1.3	3.75	0.125	2	22	56.977905	3494276
2	1.2	3.75	0.125	2	23	67.557526	4942432
2	1.1	3.75	0.125	2	25	78.719421	8078384
2	1	3.75	0.125	2	27	90.310162	12545048
2	0.9	3.75	0.125	2	29	102.33338	19152229
2	0.8	3.75	0.125	2	31	114.80211	27605071
2	0.7	3.75	0.125	2	34	127.7944	46554239
2	0.6	3.75	0.125	2	36	141.2346	66263677
2	0.5	3.75	0.125	2	39	155.26241	176493021
2	0.4	3.75	0.125	2	42	169.89993	133786416
2	0.3	3.75	0.125	2	47	185.29999	236019986
2	0.2	3.75	0.125	2	52	201.61345	418174945
2	1.8	1.875	0.0625	2	7	8.6599128	18456
2	1.7	1.875	0.0625	2	9	15.788759	61528
2	1.6	1.875	0.0625	2	11	23.863161	167081
2	1.5	1.875	0.0625	2	13	32.681473	357656
2	1.4	1.875	0.0625	2	16	42.449448	974201
2	1.3	1.875	0.0625	2	18	52.435002	1789318
2	1.2	1.875	0.0625	2	20	62.901431	3152725
2	1.1	1.875	0.0625	2	22	73.867607	5322016
2	1	1.875	0.0625	2	25	85.482608	9904304
2	0.9	1.875	0.0625	2	27	97.39405	15300262
2	0.8	1.875	0.0625	2	30	109.94296	26335593
2	0.7	1.875	0.0625	2	33	122.97477	45777333
2	0.6	1.875	0.0625	2	37	136.62662	80229160
2	0.5	1.875	0.0625	2	41	150.87002	135644592
2	0.4	1.875	0.0625	2	46	165.84738	256152749
2	0.3	1.875	0.0625	2	52	181.69343	461599874
2	0.2	1.875	0.0625	2	60	198.66802	192470
2	1.8	80	2	2	30	22.169902	3880027
2	1.7	80	2	2	32	34.8347	5145689
2	1.6	80	2	2	33	48.079827	6363279
2	1.5	80	2	2	35	61.84208	8021558
2	1.4	80	2	2	36	76.040859	9529733
2	1.3	80	2	2	37	90.646539	11240904
2	1.2	80	2	2	38	105.63683	12463295
2	1.1	80	2	2	39	120.99826	14573286
2	1	80	2	2	40	136.72548	17767208
2	0.9	80	2	2	41	152.81956	19970003
2	0.8	80	2	2	42	169.2832	22427392
2	0.7	80	2	2	43	186.1309	27193473
2	0.6	80	2	2	44	203.38233	30392816
2	0.5	80	2	2	45	221.06509	33362205
2	0.4	80	2	2	46	239.21981	39239136
2	0.3	80	2	2	48	257.9408	49891024
2	0.2	80	2	2	50	277.32949	64912903
2	1.8	40	1	2	29	21.449665	3293385
2	1.7	40	1	2	31	33.860819	4866037
2	1.6	40	1	2	32	46.896048	6254402
2	1.5	40	1	2	34	60.495778	8278764
2	1.4	40	1	2	35	74.555504	10153313
2	1.3	40	1	2	36	89.049909	12318377
2	1.2	40	1	2	37	103.95883	14664377
2	1.1	40	1	2	38	119.26876	17878545
2	1	40	1	2	40	134.99523	23086809
2	0.9	40	1	2	41	151.09615	26171587
2	0.8	40	1	2	42	167.59257	31927389
2	0.7	40	1	2	43	184.49778	45590210
2	0.6	40	1	2	44	201.82864	53436551
2	0.5	40	1	2	46	219.64123	67172893
2	0.4	40	1	2	47	237.95094	80963422
2	0.3	40	1	2	49	256.86453	108550581
2	0.2	40	1	2	52	276.50453	149590350
2	1.8	20	0.5	2	27	20.502056	3170060
2	1.7	20	0.5	2	29	32.587359	5042108
2	1.6	20	0.5	2	31	45.370718	7402776
2	1.5	20	0.5	2	32	58.712999	9883057
2	1.4	20	0.5	2	34	72.611858	13954323
2	1.3	20	0.5	2	35	86.957476	17682451
2	1.2	20	0.5	2	36	101.74364	21397593
2	1.1	20	0.5	2	38	117.02019	28285969
2	1	20	0.5	2	39	132.68263	35230441
2	0.9	20	0.5	2	41	148.7991	46159141
2	0.8	20	0.5	2	42	165.32463	56163325
2	0.7	20	0.5	2	43	182.28456	69963232
2	0.6	20	0.5	2	45	199.75591	89274240
2	0.5	20	0.5	2	47	217.7201	107668479
2	0.4	20	0.5	2	49	236.24073	148672614
2	0.3	20	0.5	2	51	255.40531	331631614
2	0.2	20	0.5	2	54	275.37411	480210783
2	1.8	10	0.25	2	23	19.212409	1370377
2	1.7	10	0.25	2	26	30.926499	2910825
2	1.6	10	0.25	2	28	43.364999	4636609
2	1.5	10	0.25	2	30	56.448096	7210960
2	1.4	10	0.25	2	32	70.101591	10584827
2	1.3	10	0.25	2	33	84.228992	13785037
2	1.2	10	0.25	2	35	98.911837	19548093
2	1.1	10	0.25	2	37	114.0681	59729604
2	1	10	0.25	2	39	129.68678	79926350
2	0.9	10	0.25	2	40	145.74054	98939710
2	0.8	10	0.25	2	42	162.31374	134408539
2	0.7	10	0.25	2	44	179.37589	179290350
2	0.6	10	0.25	2	46	196.95542	232721197
2	0.5	10	0.25	2	49	215.117	331425283
2	0.4	10	0.25	2	51	233.8858	29222869
2	0.3	10	0.25	2	55	253.40179	40020733
2	0.2	10	0.25	2	59	273.81197	62919475
2	1.8	5	0.125	2	18	17.287211	514396
