r	c	alpha	beta	M	Q_A2m	Pi_A2m	Time_A2m	CPUTime_A2m	Comp_A2m
2	1.8	20	2	2	5	3.3576972	3242	5320	490
2	1.7	20	2	2	6	5.7309963	550	5710	719
2	1.6	20	2	2	7	8.358229	657	7430	1020
2	1.5	20	2	2	7	11.206972	732	7620	1082
2	1.4	20	2	2	8	14.291274	1016	10740	1412
2	1.3	20	2	2	8	17.542995	1241	12910	1656
2	1.2	20	2	2	9	21.001896	1689	16140	2065
2	1.1	20	2	2	9	24.624565	1787	17270	2255
2	1	20	2	2	10	28.436635	2389	23380	2812
2	0.9	20	2	2	10	32.430724	2795	27810	3179
2	0.8	20	2	2	11	36.607512	3755	37380	3899
2	0.7	20	2	2	11	40.983519	4334	44660	4165
2	0.6	20	2	2	12	45.565015	5591	55850	5045
2	0.5	20	2	2	12	50.351384	6819	69400	5796
2	0.4	20	2	2	13	55.415302	9147	94740	7084
2	0.3	20	2	2	14	60.757637	12437	129360	8656
2	0.2	20	2	2	15	66.457078	17935	189010	10950
2	1.8	10	1	2	5	3.0447167	239	2870	475
2	1.7	10	1	2	5	5.2499819	277	3330	538
2	1.6	10	1	2	6	7.8150267	476	5720	873
2	1.5	10	1	2	7	10.610915	737	8300	1208
2	1.4	10	1	2	7	13.582423	818	9790	1290
2	1.3	10	1	2	8	16.817253	1214	13190	1729
2	1.2	10	1	2	8	20.181356	1436	15460	1980
2	1.1	10	1	2	9	23.822652	2163	22120	2702
2	1	10	1	2	9	27.571749	2469	26050	2950
2	0.9	10	1	2	10	31.594646	3421	35220	3721
2	0.8	10	1	2	11	35.780089	4982	51050	4841
2	0.7	10	1	2	11	40.159803	5837	60800	5312
2	0.6	10	1	2	12	44.783731	8312	86260	6693
2	0.5	10	1	2	13	49.631221	11792	123630	8477
2	0.4	10	1	2	14	54.745369	16394	173390	10404
2	0.3	10	1	2	15	60.179473	24616	264710	13606
2	0.2	10	1	2	16	66.005865	37848	412330	17657
2	1.8	5	0.5	2	4	2.5806367	117	1400	271
2	1.7	5	0.5	2	5	4.7035265	229	2750	500
2	1.6	5	0.5	2	5	7.0589555	4047	7720	591
2	1.5	5	0.5	2	6	9.7808709	627	4160	938
2	1.4	5	0.5	2	7	12.729736	849	10200	1398
2	1.3	5	0.5	2	7	15.811027	1552	15570	1523
2	1.2	5	0.5	2	8	19.210409	1763	14340	2214
2	1.1	5	0.5	2	9	22.781187	5190	30870	3045
2	1	5	0.5	2	9	26.514847	4226	32280	3415
2	0.9	5	0.5	2	10	30.509599	4533	48190	4403
2	0.8	5	0.5	2	11	34.703409	7146	73800	5956
2	0.7	5	0.5	2	11	39.086751	8590	90200	6678
2	0.6	5	0.5	2	12	43.751465	13144	139500	8813
2	0.5	5	0.5	2	13	48.665375	21539	214710	11397
2	0.4	5	0.5	2	14	53.865909	29051	315320	14537
2	0.3	5	0.5	2	16	59.416555	53114	586800	21173
2	0.2	5	0.5	2	17	65.392713	84336	945850	27920
2	1.8	2.5	0.25	2	2	1.8556819	39	460	86
2	1.7	2.5	0.25	2	3	3.7282432	79	940	193
2	1.6	2.5	0.25	2	4	6.0695768	157	1890	363
2	1.5	2.5	0.25	2	5	8.7089738	332	3990	680
2	1.4	2.5	0.25	2	6	11.581268	1487	10860	1055
2	1.3	2.5	0.25	2	6	14.539311	843	10100	1219
2	1.2	2.5	0.25	2	7	17.887101	1427	16670	1900
2	1.1	2.5	0.25	2	8	21.434348	2403	26460	2730
2	1	2.5	0.25	2	9	25.180631	3919	42460	3845
2	0.9	2.5	0.25	2	9	29.056544	4832	51490	4298
2	0.8	2.5	0.25	2	10	33.270155	7755	81730	5842
2	0.7	2.5	0.25	2	11	37.713387	12599	137910	7996
2	0.6	2.5	0.25	2	12	42.398961	19280	210490	10565
2	0.5	2.5	0.25	2	14	47.415914	38367	426550	16383
2	0.4	2.5	0.25	2	15	52.697548	59574	669290	21474
2	0.3	2.5	0.25	2	17	58.390169	112397	1273800	31836
2	0.2	2.5	0.25	2	19	64.555353	227526	2441620	46865
2	1.8	1.25	0.125	2	1	0.97222736	19	230	28
2	1.7	1.25	0.125	2	2	2.7032536	38	450	91
2	1.6	1.25	0.125	2	2	4.4667179	54	650	127
2	1.5	1.25	0.125	2	3	7.0349728	120	1440	273
2	1.4	1.25	0.125	2	4	9.8520692	254	3040	496
2	1.3	1.25	0.125	2	5	12.969916	592	7120	898
2	1.2	1.25	0.125	2	5	15.936115	808	9680	1097
2	1.1	1.25	0.125	2	6	19.480873	1649	19380	1801
2	1	1.25	0.125	2	7	23.225332	2818	31380	2669
2	0.9	1.25	0.125	2	8	27.191817	5096	56050	3920
2	0.8	1.25	0.125	2	10	31.53816	11730	128880	6897
2	0.7	1.25	0.125	2	11	35.947716	19407	215490	9489
2	0.6	1.25	0.125	2	12	40.6432	30593	342600	12625
2	0.5	1.25	0.125	2	14	45.717191	60438	684140	19761
2	0.4	1.25	0.125	2	16	51.125147	117954	1348700	30056
2	0.3	1.25	0.125	2	19	56.97681	266096	3038440	50251
2	0.2	1.25	0.125	2	23	63.384102	668453	7777450	89748
2	1.8	0.625	0.0625	2	0	0	1	20	4
2	1.7	0.625	0.0625	2	0	0	1	20	4
2	1.6	0.625	0.0625	2	1	2.8363405	58	680	48
2	1.5	0.625	0.0625	2	1	4.5903133	44	520	77
2	1.4	0.625	0.0625	2	2	7.6324815	1555	5280	215
2	1.3	0.625	0.0625	2	3	10.778548	379	4550	446
2	1.2	0.625	0.0625	2	3	13.441785	434	5220	560
2	1.1	0.625	0.0625	2	4	16.983912	952	11420	1001
2	1	0.625	0.0625	2	5	20.740131	2265	27180	1771
2	0.9	0.625	0.0625	2	6	24.602599	4175	48160	2639
2	0.8	0.625	0.0625	2	8	29.028096	10887	122930	5194
2	0.7	0.625	0.0625	2	9	33.356778	18856	215800	7305
2	0.6	0.625	0.0625	2	11	38.239658	42593	487000	12505
2	0.5	0.625	0.0625	2	14	43.44267	104212	1183530	23289
2	0.4	0.625	0.0625	2	17	48.959213	238068	2756990	40422
2	0.3	0.625	0.0625	2	21	54.9653	591306	6897790	74176
2	0.2	0.625	0.0625	2	26	61.638813	1578750	18524780	139608
2	1.8	40	2	2	13	9.2097899	7333	51870	5027
2	1.7	40	2	2	14	14.859214	8219	73110	6477
2	1.6	40	2	2	15	20.922275	10541	97490	7860
2	1.5	40	2	2	16	27.330289	16576	131640	9277
2	1.4	40	2	2	17	34.041957	16885	158720	11080
2	1.3	40	2	2	18	41.025387	20807	203870	12856
2	1.2	40	2	2	18	48.274612	28090	234930	13806
2	1.1	40	2	2	19	55.804711	28466	286670	15865
2	1	40	2	2	20	63.577157	34777	355640	18218
2	0.9	40	2	2	20	71.602422	41893	412700	19512
2	0.8	40	2	2	21	79.912409	47499	493960	22043
2	0.7	40	2	2	22	88.482382	58198	610550	25149
2	0.6	40	2	2	23	97.332406	71599	760630	28817
2	0.5	40	2	2	23	106.48867	88686	882120	30863
2	0.4	40	2	2	24	116.00315	104210	1126740	36127
2	0.3	40	2	2	26	125.92467	140662	1534030	43621
2	0.2	40	2	2	27	136.32827	186335	2057730	51740
2	1.8	20	1	2	12	8.7157315	4190	35550	4265
