r	c	alpha	beta	M	Q_A4m_bar	Q_A4m	Pi_A4m	Time_A4m	CPUTime_A4m	Comp_A4m
2	1.8	20	2	4	5	5	3.370024293	759	230	2412
2	1.7	20	2	4	6	6	5.743955169	254	10	4149
2	1.6	20	2	4	7	7	8.373466397	206	10	5961
2	1.5	20	2	4	7	7	11.23055524	408	0	6769
2	1.4	20	2	4	8	8	14.3084391	607	20	9576
2	1.3	20	2	4	8	8	17.56947623	307	40	10951
2	1.2	20	2	4	9	9	21.02638186	2576	260	14437
2	1.1	20	2	4	9	9	24.64659691	2111	20	15890
2	1	20	2	4	10	10	28.45900657	1321	120	20513
2	0.9	20	2	4	10	10	32.44824448	1088	10	24672
2	0.8	20	2	4	11	11	36.62270985	264	580	31008
2	0.7	20	2	4	11	11	40.99889131	192	20	33242
2	0.6	20	2	4	12	12	45.57622649	1197	40	42058
2	0.5	20	2	4	12	12	50.3602349	215	20	48848
2	0.4	20	2	4	13	13	55.42199826	158	20	63157
2	0.3	20	2	4	14	14	60.76204076	293	640	79576
2	0.2	20	2	4	15	15	66.45938431	181	30	105327
2	1.8	10	1	4	5	5	3.078132604	163	10	2744
2	1.7	10	1	4	5	5	5.286552935	208	640	3515
2	1.6	10	1	4	6	6	7.853171489	150	10	5951
2	1.5	10	1	4	7	7	10.64955473	165	10	9013
2	1.4	10	1	4	7	7	13.63031856	165	10	10642
2	1.3	10	1	4	8	8	16.86555603	206	10	15797
2	1.2	10	1	4	8	8	20.23360072	245	860	17759
2	1.1	10	1	4	9	9	23.86683154	209	10	24928
2	1	10	1	4	9	9	27.61666121	169	10	28999
2	0.9	10	1	4	10	10	31.6341225	251	10	39323
2	0.8	10	1	4	11	11	35.81184819	292	20	51744
2	0.7	10	1	4	11	11	40.19064876	172	10	56856
2	0.6	10	1	4	12	12	44.80802998	214	10	75905
2	0.5	10	1	4	13	13	49.64982454	216	20	99761
2	0.4	10	1	4	14	14	54.75908774	738	20	128744
2	0.3	10	1	4	15	15	60.18793009	910	630	178129
2	0.2	10	1	4	16	16	66.01070484	1223	20	235226
2	1.8	5	0.5	4	4	4	2.681176005	284	0	1904
2	1.7	5	0.5	4	5	5	4.800129909	287	660	3961
2	1.6	5	0.5	4	5	5	7.166442142	243	0	5036
2	1.5	5	0.5	4	6	6	9.882816257	324	0	9082
2	1.4	5	0.5	4	7	7	12.81946727	286	10	14411
2	1.3	5	0.5	4	7	7	15.91984473	286	10	17248
2	1.2	5	0.5	4	8	8	19.29895141	104	440	25421
2	1.1	5	0.5	4	9	9	22.86159257	208	10	37594
2	1	5	0.5	4	9	9	26.59716137	250	10	43774
2	0.9	5	0.5	4	10	10	30.58006539	211	10	61785
2	0.8	5	0.5	4	11	11	34.76183611	232	20	84400
2	0.7	5	0.5	4	11	11	39.14236697	213	180	96242
2	0.6	5	0.5	4	12	12	43.79723584	254	10	130931
2	0.5	5	0.5	4	13	13	48.70120502	256	10	175442
