r	c	alpha	beta	M	Q_B4	Pi_B4	Time_B4
2	1.8	20	2	4	5	3.3681385	30392
2	1.7	20	2	4	6	5.7423672	38493
2	1.6	20	2	4	7	8.3702911	49638
2	1.5	20	2	4	7	11.225522	43665
2	1.4	20	2	4	8	14.302445	64094
2	1.3	20	2	4	8	17.566315	56381
2	1.2	20	2	4	9	21.023753	103301
2	1.1	20	2	4	9	24.639887	80196
2	1	20	2	4	10	28.454897	128547
2	0.9	20	2	4	10	32.444344	113455
2	0.8	20	2	4	11	36.615202	190518
2	0.7	20	2	4	11	40.995827	161066
2	0.6	20	2	4	12	45.574346	260194
2	0.5	20	2	4	12	50.356855	249263
2	0.4	20	2	4	13	55.420494	395777
2	0.3	20	2	4	14	60.760892	527223
2	0.2	20	2	4	15	66.458277	795123
2	1.8	10	1	4	5	3.0756199	42957
2	1.7	10	1	4	6	5.3217813	65330
2	1.6	10	1	4	6	7.8451362	50831
2	1.5	10	1	4	7	10.639582	90920
2	1.4	10	1	4	8	13.623136	136863
2	1.3	10	1	4	8	16.859731	90731
2	1.2	10	1	4	9	20.250088	199862
2	1.1	10	1	4	9	23.852946	134849
2	1	10	1	4	10	27.636138	236992
2	0.9	10	1	4	10	31.620807	222979
2	0.8	10	1	4	11	35.804419	311442
2	0.7	10	1	4	11	40.179105	314696
2	0.6	10	1	4	12	44.801597	583990
2	0.5	10	1	4	13	49.645523	588146
2	0.4	10	1	4	14	54.753919	933109
2	0.3	10	1	4	15	60.185571	1202049
2	0.2	10	1	4	16	66.009238	1631631
2	1.8	5	0.5	4	4	2.6792504	42444
2	1.7	5	0.5	4	5	4.7925324	61584
2	1.6	5	0.5	4	6	7.2028339	130905
2	1.5	5	0.5	4	6	9.8689452	119095
2	1.4	5	0.5	4	7	12.797023	189961
2	1.3	5	0.5	4	8	15.930225	296228
2	1.2	5	0.5	4	8	19.282518	222500
2	1.1	5	0.5	4	9	22.833797	392588
2	1	5	0.5	4	10	26.580109	612827
2	0.9	5	0.5	4	10	30.559652	476715
2	0.8	5	0.5	4	11	34.740564	680369
2	0.7	5	0.5	4	12	39.13947	1391509
2	0.6	5	0.5	4	12	43.778765	1019018
2	0.5	5	0.5	4	13	48.688786	1427017
2	0.4	5	0.5	4	14	53.883609	2006049
2	0.3	5	0.5	4	16	59.425501	3009452
2	0.2	5	0.5	4	17	65.398345	4519156
2	1.8	2.5	0.25	4	3	2.1919326	55668
2	1.7	2.5	0.25	4	4	4.1485061	97918
2	1.6	2.5	0.25	4	5	6.4259605	179731
2	1.5	2.5	0.25	4	6	8.9740571	339436
2	1.4	2.5	0.25	4	6	11.779287	258451
2	1.3	2.5	0.25	4	7	14.832962	571583
2	1.2	2.5	0.25	4	8	18.094547	876255
2	1.1	2.5	0.25	4	8	21.574812	650480
2	1	2.5	0.25	4	9	25.297568	1015091
2	0.9	2.5	0.25	4	10	29.232046	1512456
2	0.8	2.5	0.25	4	11	33.400151	2067328
2	0.7	2.5	0.25	4	12	37.808482	3825668
2	0.6	2.5	0.25	4	13	42.480517	3769548
2	0.5	2.5	0.25	4	14	47.447214	3688378
2	0.4	2.5	0.25	4	15	52.71988	4891904
2	0.3	2.5	0.25	4	17	58.401343	7691084
2	0.2	2.5	0.25	4	20	64.565293	23924109
2	1.8	1.25	0.125	4	2	1.6487376	53183
2	1.7	1.25	0.125	4	3	3.4353828	131122
2	1.6	1.25	0.125	4	4	5.5667168	388702
2	1.5	1.25	0.125	4	5	7.9784271	641148
2	1.4	1.25	0.125	4	5	10.644928	588183
2	1.3	1.25	0.125	4	6	13.584844	1176105
2	1.2	1.25	0.125	4	7	16.747405	1978660
2	1.1	1.25	0.125	4	8	20.137647	2639380
2	1	1.25	0.125	4	9	23.763071	3824212
2	0.9	1.25	0.125	4	10	27.6269	5064090
2	0.8	1.25	0.125	4	11	31.753665	5579966
2	0.7	1.25	0.125	4	12	36.131258	6935739
2	0.6	1.25	0.125	4	13	40.811227	10236251
2	0.5	1.25	0.125	4	15	45.801744	13982500
2	0.4	1.25	0.125	4	17	51.16739	18374941
2	0.3	1.25	0.125	4	19	56.977463	18667453
2	0.2	1.25	0.125	4	23	63.366344	48164105
2	1.8	0.625	0.0625	4	2	1.1199345	94075
2	1.7	0.625	0.0625	4	2	2.7067954	185365
2	1.6	0.625	0.0625	4	3	4.6993482	499390
2	1.5	0.625	0.0625	4	4	6.9595983	1130526
2	1.4	0.625	0.0625	4	4	9.4817682	1415221
2	1.3	0.625	0.0625	4	5	12.286891	2822913
2	1.2	0.625	0.0625	4	6	15.318678	5511276
2	1.1	0.625	0.0625	4	7	18.583019	7811278
2	1	0.625	0.0625	4	8	22.08492	12466774
2	0.9	0.625	0.0625	4	9	25.817624	21900694
2	0.8	0.625	0.0625	4	10	29.836047	36971643
2	0.7	0.625	0.0625	4	11	34.13318	54736060
2	0.6	0.625	0.0625	4	13	38.732441	87448487
2	0.5	0.625	0.0625	4	15	43.677738	106438152
2	0.4	0.625	0.0625	4	18	49.04445	109272173
2	0.3	0.625	0.0625	4	21	54.931805	156630999
2	0.2	0.625	0.0625	4	27	61.536011	533174627
2	1.8	40	2	4	13	9.2191401	306542
2	1.7	40	2	4	14	14.874668	339915
2	1.6	40	2	4	15	20.940784	370659
2	1.5	40	2	4	16	27.351991	426113
2	1.4	40	2	4	17	34.068478	520563
2	1.3	40	2	4	18	41.050891	541860
2	1.2	40	2	4	18	48.298867	516805
2	1.1	40	2	4	19	55.825099	699199
2	1	40	2	4	20	63.595385	835349
2	0.9	40	2	4	20	71.622645	656027
2	0.8	40	2	4	21	79.929183	1067165
2	0.7	40	2	4	22	88.493678	1161807
2	0.6	40	2	4	23	97.339873	1424409
2	0.5	40	2	4	24	106.50025	2154177
