r	c	alpha	beta	M	Q_B4m	Pi_B4m	Time_B4m
2	1.8	20	2	4	5	3.3681385	4972
2	1.7	20	2	4	6	5.7423634	7360
2	1.6	20	2	4	7	8.3697809	9576
2	1.5	20	2	4	7	11.225503	8988
2	1.4	20	2	4	8	14.302445	13490
2	1.3	20	2	4	8	17.566315	13802
2	1.2	20	2	4	9	21.023499	19077
2	1.1	20	2	4	9	24.639881	15070
2	1	20	2	4	10	28.454522	25788
2	0.9	20	2	4	10	32.44364	25468
2	0.8	20	2	4	11	36.615201	37481
2	0.7	20	2	4	11	40.995827	28813
2	0.6	20	2	4	12	45.574266	50293
2	0.5	20	2	4	12	50.356854	50308
2	0.4	20	2	4	13	55.420482	74406
2	0.3	20	2	4	14	60.760874	96449
2	0.2	20	2	4	15	66.458277	133826
2	1.8	10	1	4	5	3.0755202	4690
2	1.7	10	1	4	5	5.2729226	5464
2	1.6	10	1	4	6	7.8383798	8692
2	1.5	10	1	4	7	10.637387	12180
2	1.4	10	1	4	7	13.621234	12673
2	1.3	10	1	4	8	16.859069	20315
2	1.2	10	1	4	8	20.221428	15266
2	1.1	10	1	4	9	23.850833	29277
2	1	10	1	4	10	27.635912	37640
2	0.9	10	1	4	10	31.620724	36693
2	0.8	10	1	4	11	35.803932	53127
2	0.7	10	1	4	11	40.176539	50760
2	0.6	10	1	4	12	44.801583	78804
2	0.5	10	1	4	13	49.64539	102041
2	0.4	10	1	4	14	54.753576	129209
2	0.3	10	1	4	15	60.185562	176378
2	0.2	10	1	4	16	66.009057	239637
2	1.8	5	0.5	4	4	2.6756432	3678
2	1.7	5	0.5	4	5	4.7827297	6360
2	1.6	5	0.5	4	5	7.1403183	6624
2	1.5	5	0.5	4	6	9.866316	12657
2	1.4	5	0.5	4	7	12.794727	18757
2	1.3	5	0.5	4	7	15.901397	21485
2	1.2	5	0.5	4	8	19.280954	33589
2	1.1	5	0.5	4	9	22.83075	45901
2	1	5	0.5	4	9	26.575466	50148
2	0.9	5	0.5	4	10	30.556674	69926
2	0.8	5	0.5	4	11	34.740541	96536
2	0.7	5	0.5	4	11	39.123801	98469
2	0.6	5	0.5	4	12	43.776714	141877
2	0.5	5	0.5	4	13	48.688594	185348
2	0.4	5	0.5	4	14	53.882988	247713
2	0.3	5	0.5	4	16	59.425426	353841
2	0.2	5	0.5	4	17	65.398341	481274
2	1.8	2.5	0.25	4	2	2.0062191	1393
2	1.7	2.5	0.25	4	3	4.0216342	3770
2	1.6	2.5	0.25	4	4	6.3304907	7208
2	1.5	2.5	0.25	4	5	8.9425369	14710
2	1.4	2.5	0.25	4	6	11.778759	25332
