r	c	alpha	beta	M	Q_B4m	Pi_B4m	Time_B4m	CPUTime_B4m	Comp_B4m
2	1.8	20	2	4	5	3.3681387	875	7330	471
2	1.7	20	2	4	6	5.7423636	589	7060	571
2	1.6	20	2	4	7	8.3697811	796	9330	682
2	1.5	20	2	4	7	11.225503	892	10250	692
2	1.4	20	2	4	8	14.302445	1080	12950	772
2	1.3	20	2	4	8	17.566315	1872	14250	817
2	1.2	20	2	4	9	21.023499	1589	16840	922
2	1.1	20	2	4	9	24.639881	6817	24380	891
2	1	20	2	4	10	28.454522	2059	20370	1026
2	0.9	20	2	4	10	32.44364	2301	20940	1041
2	0.8	20	2	4	11	36.615201	2634	28200	1111
2	0.7	20	2	4	11	40.995827	2792	29410	1098
2	0.6	20	2	4	12	45.574266	3391	35900	1223
2	0.5	20	2	4	12	50.356854	3809	41080	1294
2	0.4	20	2	4	13	55.420482	7327	51860	1411
2	0.3	20	2	4	14	60.760874	5881	58050	1559
2	0.2	20	2	4	15	66.458277	10635	83330	1724
2	1.8	10	1	4	5	3.075522	471	3210	482
2	1.7	10	1	4	5	5.2729248	446	5350	520
2	1.6	10	1	4	6	7.8383826	634	7600	626
2	1.5	10	1	4	7	10.63739	906	10270	750
2	1.4	10	1	4	7	13.621238	1014	12160	783
2	1.3	10	1	4	8	16.859072	1395	16170	904
2	1.2	10	1	4	8	20.221433	1474	17140	910
2	1.1	10	1	4	9	23.850837	1966	21000	1036
2	1	10	1	4	9	27.604639	2188	23290	1038
2	0.9	10	1	4	10	31.620728	5723	33580	1162
2	0.8	10	1	4	11	35.803936	3376	36090	1302
2	0.7	10	1	4	11	40.176542	3555	38980	1272
2	0.6	10	1	4	12	44.801586	4618	48890	1446
2	0.5	10	1	4	13	49.645392	5910	62880	1661
2	0.4	10	1	4	14	54.753577	8733	79190	1818
2	0.3	10	1	4	15	60.185563	9552	98760	2017
2	0.2	10	1	4	16	66.009057	12593	135950	2301
2	1.8	5	0.5	4	4	2.6756612	271	3260	381
2	1.7	5	0.5	4	5	4.7827557	428	5150	503
2	1.6	5	0.5	4	5	7.140349	492	5900	534
2	1.5	5	0.5	4	6	9.8663568	1317	12620	682
2	1.4	5	0.5	4	7	12.794778	1146	13640	805
2	1.3	5	0.5	4	7	15.901455	1315	15790	873
2	1.2	5	0.5	4	8	19.281023	1894	21420	1020
2	1.1	5	0.5	4	9	22.830828	2468	26360	1144
2	1	5	0.5	4	9	26.57555	2979	32230	1206
2	0.9	5	0.5	4	10	30.556764	3702	39740	1343
2	0.8	5	0.5	4	11	34.740633	4873	53500	1487
2	0.7	5	0.5	4	11	39.1239	5334	58310	1509
2	0.6	5	0.5	4	12	43.776808	6958	75200	1747
2	0.5	5	0.5	4	13	48.688679	11413	103840	1943
2	0.4	5	0.5	4	14	53.883061	12030	131240	2264
2	0.3	5	0.5	4	16	59.42547	17260	189470	2665
2	0.2	5	0.5	4	17	65.398373	23222	254860	3067
2	1.8	2.5	0.25	4	2	2.0063018	117	1410	154
2	1.7	2.5	0.25	4	3	4.0217835	241	2900	302
2	1.6	2.5	0.25	4	4	6.3307212	403	4820	422
2	1.5	2.5	0.25	4	5	8.942867	745	8820	601
2	1.4	2.5	0.25	4	6	11.779205	1177	14040	750
2	1.3	2.5	0.25	4	6	14.750919	1410	16910	802
2	1.2	2.5	0.25	4	7	18.059696	2138	25490	987
2	1.1	2.5	0.25	4	8	21.570333	5531	38250	1147
2	1	2.5	0.25	4	9	25.294192	4407	45650	1348
2	0.9	2.5	0.25	4	9	29.161945	4882	55710	1374
2	0.8	2.5	0.25	4	10	33.361952	6572	73980	1549
2	0.7	2.5	0.25	4	11	37.776523	8689	92660	1734
2	0.6	2.5	0.25	4	12	42.451631	11793	130170	2024
2	0.5	2.5	0.25	4	14	47.448408	17096	188870	2434
2	0.4	2.5	0.25	4	15	52.720991	22579	249810	2775
2	0.3	2.5	0.25	4	17	58.40268	32049	357310	3387
2	0.2	2.5	0.25	4	19	64.560714	48468	518980	4100
2	1.8	1.25	0.125	4	1	1.3786525	79	940	72
2	1.7	1.25	0.125	4	2	3.1804908	174	2100	169
2	1.6	1.25	0.125	4	2	5.0343054	230	2760	218
2	1.5	1.25	0.125	4	3	7.6696716	485	5800	372
2	1.4	1.25	0.125	4	4	10.450475	883	10590	526
2	1.3	1.25	0.125	4	5	13.471273	3188	24160	708
2	1.2	1.25	0.125	4	5	16.445231	1940	23280	769
2	1.1	1.25	0.125	4	6	19.920505	3172	36880	965
2	1	1.25	0.125	4	7	23.623447	4797	55570	1191
2	0.9	1.25	0.125	4	8	27.519844	6823	78730	1401
2	0.8	1.25	0.125	4	10	31.755397	11652	129500	1732
2	0.7	1.25	0.125	4	11	36.119518	17629	170380	1981
2	0.6	1.25	0.125	4	12	40.779957	20116	227120	2290
2	0.5	1.25	0.125	4	14	45.803445	29336	331350	2816
2	0.4	1.25	0.125	4	16	51.174673	43994	467640	3378
2	0.3	1.25	0.125	4	19	56.995249	61668	694000	4249
2	0.2	1.25	0.125	4	23	63.379835	99169	1113660	5693
2	1.8	0.625	0.0625	4	0	0	2	20	4
2	1.7	0.625	0.0625	4	0	0	98	1080	4
2	1.6	0.625	0.0625	4	1	3.7627709	260	3010	100
2	1.5	0.625	0.0625	4	1	5.592227	294	3520	129
2	1.4	0.625	0.0625	4	2	8.6628167	715	8570	275
2	1.3	0.625	0.0625	4	3	11.796915	1275	15190	468
2	1.2	0.625	0.0625	4	3	14.489291	1612	19180	526
2	1.1	0.625	0.0625	4	4	17.985281	4401	40170	737
2	1	0.625	0.0625	4	5	21.61583	5328	59120	965
2	0.9	0.625	0.0625	4	6	25.447859	8589	98510	1197
2	0.8	0.625	0.0625	4	8	29.698835	13798	160140	1577
2	0.7	0.625	0.0625	4	9	33.946165	18549	213730	1820
2	0.6	0.625	0.0625	4	11	38.685672	29585	331380	2337
2	0.5	0.625	0.0625	4	14	43.732488	53997	534650	3097
2	0.4	0.625	0.0625	4	17	49.137178	69052	778300	3936
2	0.3	0.625	0.0625	4	21	55.050806	110128	1222910	5129
2	0.2	0.625	0.0625	4	26	61.65432	164076	1811130	6769
2	1.8	40	2	4	13	9.2191261	5439	33630	1342
2	1.7	40	2	4	14	14.874022	4381	42420	1507
2	1.6	40	2	4	15	20.940784	5332	50860	1626
2	1.5	40	2	4	16	27.351991	6276	61810	1773
2	1.4	40	2	4	17	34.06474	7275	71780	1875
2	1.3	40	2	4	18	41.050739	8505	84170	2022
2	1.2	40	2	4	18	48.298476	9108	90270	2028
2	1.1	40	2	4	19	55.824871	10408	103070	2134
2	1	40	2	4	20	63.59513	12053	121180	2295
2	0.9	40	2	4	20	71.622645	12250	121980	2205
2	0.8	40	2	4	21	79.929183	14128	142200	2372
2	0.7	40	2	4	22	88.493678	15957	160390	2472
2	0.6	40	2	4	23	97.33941	18394	186180	2665
2	0.5	40	2	4	23	106.49584	20023	205060	2738
2	0.4	40	2	4	24	116.00742	23464	241010	2915
2	0.3	40	2	4	26	125.92625	29245	300510	3242
2	0.2	40	2	4	27	136.32902	36082	376490	3594
2	1.8	20	1	4	12	8.7407483	2920	29090	1325
2	1.7	20	1	4	14	14.244027	4107	39570	1530
2	1.6	20	1	4	15	20.165107	5300	53170	1734
2	1.5	20	1	4	16	26.453683	6576	65660	1906
2	1.4	20	1	4	16	33.053701	9986	76970	1967
2	1.3	20	1	4	17	39.971868	8821	88850	2137
2	1.2	20	1	4	18	47.183096	11370	110050	2293
2	1.1	20	1	4	19	54.661583	12565	126890	2474
2	1	20	1	4	20	62.411974	14416	147590	2614
2	0.9	20	1	4	20	70.43005	15518	160460	2631
2	0.8	20	1	4	21	78.745784	17742	182250	2754
2	0.7	20	1	4	22	87.345799	20544	212100	2942
2	0.6	20	1	4	23	96.254495	24749	258990	3248
2	0.5	20	1	4	24	105.49471	29413	309560	3514
2	0.4	20	1	4	25	115.10526	38273	376140	3847
2	0.3	20	1	4	27	125.14442	44189	472440	4259
2	0.2	20	1	4	28	135.71823	56039	591420	4687
2	1.8	10	0.5	4	11	8.1183606	2437	24290	1213
2	1.7	10	0.5	4	12	13.373958	3439	34520	1400
2	1.6	10	0.5	4	13	19.10446	4656	47130	1580
2	1.5	10	0.5	4	14	25.241845	6175	62020	1807
2	1.4	10	0.5	4	15	31.724466	7608	79270	1970
2	1.3	10	0.5	4	16	38.539379	9658	101190	2162
2	1.2	10	0.5	4	17	45.678212	12035	125560	2436
2	1.1	10	0.5	4	18	53.100201	14596	154220	2618
2	1	10	0.5	4	19	60.831581	18345	187840	2835
2	0.9	10	0.5	4	20	68.851035	20732	221790	3002
2	0.8	10	0.5	4	21	77.17186	24621	261160	3221
2	0.7	10	0.5	4	22	85.806873	29617	316880	3538
2	0.6	10	0.5	4	23	94.778028	34901	376610	3787
2	0.5	10	0.5	4	25	104.13234	45636	494420	4385
2	0.4	10	0.5	4	26	113.8718	53281	579800	4692
2	0.3	10	0.5	4	28	124.09303	74279	752930	5343
2	0.2	10	0.5	4	30	134.89256	94920	1026780	6322
2	1.8	5	0.25	4	9	7.3290627	1867	18610	970
2	1.7	5	0.25	4	10	12.297744	2957	31660	1209
2	1.6	5	0.25	4	11	17.763873	4789	50350	1407
2	1.5	5	0.25	4	13	23.773146	6756	71540	1751
2	1.4	5	0.25	4	14	30.084353	8881	95840	1945
2	1.3	5	0.25	4	15	36.751785	12091	128810	2221
2	1.2	5	0.25	4	16	43.753756	15002	159080	2440
2	1.1	5	0.25	4	17	51.08202	19005	205030	2737
2	1	5	0.25	4	19	58.803525	25665	279080	3147
2	0.9	5	0.25	4	20	66.791018	30714	334820	3365
2	0.8	5	0.25	4	21	75.103995	36980	403160	3614
2	0.7	5	0.25	4	22	83.761574	46738	493020	3995
2	0.6	5	0.25	4	24	92.838827	55967	616000	4505
2	0.5	5	0.25	4	26	102.29702	73640	797530	5182
2	0.4	5	0.25	4	28	112.20325	92954	1029470	5914
2	0.3	5	0.25	4	30	122.63908	119801	1332040	6769
2	0.2	5	0.25	4	33	133.7406	174859	1830120	8132
2	1.8	2.5	0.125	4	6	6.2837075	1048	11370	605
2	1.7	2.5	0.125	4	7	10.886079	1942	22640	832
2	1.6	2.5	0.125	4	9	16.203413	4569	48230	1165
2	1.5	2.5	0.125	4	10	21.849628	5943	65280	1403
2	1.4	2.5	0.125	4	12	28.032615	10156	113710	1787
2	1.3	2.5	0.125	4	13	34.486392	13767	153520	2063
2	1.2	2.5	0.125	4	14	41.297019	17824	197510	2306
2	1.1	2.5	0.125	4	16	48.566022	25605	284750	2723
2	1	2.5	0.125	4	17	56.098191	32768	366250	3079
2	0.9	2.5	0.125	4	19	64.071603	44365	493190	3536
2	0.8	2.5	0.125	4	21	72.397569	58119	651390	4010
2	0.7	2.5	0.125	4	22	81.045157	70279	777430	4437
2	0.6	2.5	0.125	4	25	90.211733	94165	1054810	5362
2	0.5	2.5	0.125	4	27	99.779248	121411	1359070	6124
2	0.4	2.5	0.125	4	30	109.87951	164766	1851420	7244
2	0.3	2.5	0.125	4	33	120.58311	218444	2456040	8676
2	0.2	2.5	0.125	4	38	132.07986	317673	3582770	10638
2	1.8	1.25	0.0625	4	3	4.7798836	586	6710	259
2	1.7	1.25	0.0625	4	4	8.9864246	1267	14130	443
2	1.6	1.25	0.0625	4	5	13.804254	2068	24790	652
2	1.5	1.25	0.0625	4	7	19.476701	4758	53950	1008
2	1.4	1.25	0.0625	4	8	25.255771	7481	84460	1238
2	1.3	1.25	0.0625	4	10	31.711914	14487	161500	1687
2	1.2	1.25	0.0625	4	11	38.253192	19809	221310	1923
2	1.1	1.25	0.0625	4	13	45.383044	29504	334160	2379
2	1	1.25	0.0625	4	15	52.836971	42248	482450	2918
2	0.9	1.25	0.0625	4	17	60.654673	58278	664500	3420
2	0.8	1.25	0.0625	4	19	68.852873	78624	895250	3930
2	0.7	1.25	0.0625	4	22	77.555838	107530	1219120	4823
2	0.6	1.25	0.0625	4	24	86.641555	136261	1543230	5524
2	0.5	1.25	0.0625	4	28	96.351075	201337	2284850	6884
