r	c	alpha	beta	Q_E_bar	Q_E	Pi_E	Time_E	CPUTime_E	Comp_E
2	1.8	20	2	6	5	3.284863386	3965	45740	2326
2	1.7	20	2	7	6	5.631695836	3572	42850	2305
2	1.6	20	2	8	7	8.26067487	3618	43420	2354
2	1.5	20	2	8	7	11.10983495	3854	46230	2422
2	1.4	20	2	9	8	14.19195375	3919	47020	2474
2	1.3	20	2	9	8	17.44746816	3918	47030	2467
2	1.2	20	2	10	9	20.91596302	3975	47680	2480
2	1.1	20	2	10	9	24.55154165	4080	48960	2551
2	1	20	2	11	10	28.37536286	4664	53610	2533
2	0.9	20	2	11	10	32.37751374	4144	49720	2565
2	0.8	20	2	12	11	36.57243002	4194	50310	2604
2	0.7	20	2	12	11	40.94239779	4372	52440	2636
2	0.6	20	2	13	12	45.53744409	4240	50880	2608
2	0.5	20	2	13	12	50.33131411	4357	52240	2660
2	0.4	20	2	14	13	55.40344856	4443	53290	2672
2	0.3	20	2	15	14	60.75061113	4903	56800	2684
2	0.2	20	2	16	15	66.45421424	4638	55630	2750
2	1.8	10	1	6	5	2.88586525	7008	84070	3512
2	1.7	10	1	7	6	5.09304206	8123	97350	3990
2	1.6	10	1	8	7	7.592136082	8257	98940	4006
2	1.5	10	1	8	7	10.37318937	7912	93000	3767
2	1.4	10	1	9	8	13.36937476	8784	105070	4232
2	1.3	10	1	9	8	16.59362731	7517	90160	3747
2	1.2	10	1	10	9	20.02483043	8657	103740	4163
2	1.1	10	1	10	9	23.62967394	8275	97340	3854
2	1	10	1	11	10	27.45002563	8789	105430	4236
2	0.9	10	1	11	10	31.45013043	8070	96680	3943
2	0.8	10	1	12	11	35.6737726	8132	96570	3900
2	0.7	10	1	12	12	40.07117928	8125	96390	3931
2	0.6	10	1	13	12	44.71289841	8239	98550	3975
2	0.5	10	1	14	13	49.58326779	8200	98240	3998
2	0.4	10	1	15	14	54.71596212	8967	105690	4119
2	0.3	10	1	16	15	60.16209938	8397	100720	4125
2	0.2	10	1	17	16	65.99705163	8449	101360	4207
2	1.8	5	0.5	7	4	2.32067516	20770	247150	7383
2	1.7	5	0.5	8	5	4.317658401	20512	245670	7420
2	1.6	5	0.5	9	6	6.680156301	22786	271130	8084
2	1.5	5	0.5	9	7	9.333564799	21441	255310	7608
2	1.4	5	0.5	10	7	12.22698169	21074	252420	7670
2	1.3	5	0.5	10	8	15.39072677	21222	252540	7675
2	1.2	5	0.5	11	9	18.77045854	20808	247550	7571
2	1.1	5	0.5	12	9	22.35692934	20416	244730	7541
2	1	5	0.5	12	10	26.18197414	21199	252110	7560
2	0.9	5	0.5	13	11	30.18766332	20325	241800	7406
2	0.8	5	0.5	13	11	34.42951575	18713	224460	6969
2	0.7	5	0.5	14	12	38.89743883	20561	244420	7388
2	0.6	5	0.5	14	13	43.58714112	18595	222340	6961
2	0.5	5	0.5	15	14	48.5405928	18564	221380	6966
2	0.4	5	0.5	16	15	53.78161027	18625	221360	6988
2	0.3	5	0.5	17	16	59.36633285	17028	203990	6625
2	0.2	5	0.5	18	18	65.3688517	17299	205480	6728
2	1.8	2.5	0.25	7	3	1.594813217	55300	660780	14985
2	1.7	2.5	0.25	9	5	3.312546003	59834	713640	16150
2	1.6	2.5	0.25	10	5	5.453071491	61122	728810	16542
2	1.5	2.5	0.25	11	6	7.932113499	61451	732730	16619
2	1.4	2.5	0.25	12	7	10.72101103	61964	738950	16793
2	1.3	2.5	0.25	12	8	13.78472013	61509	733470	16792
2	1.2	2.5	0.25	13	9	17.07999867	60286	718920	16475
2	1.1	2.5	0.25	14	9	20.65348702	58918	702250	16291
2	1	2.5	0.25	14	10	24.45754711	54295	647730	15191
2	0.9	2.5	0.25	15	11	28.48837612	56645	676880	15900
2	0.8	2.5	0.25	16	12	32.7602637	56230	670220	15772
