r	c	alpha	beta	Q_Em	Pi_Em	Time_Em	CPUTime_Em	Comp_Em
2	1.8	20	2	5	3.277352002	88	960	78
2	1.7	20	2	6	5.631616876	97	1150	96
2	1.6	20	2	7	8.259949631	114	1360	115
2	1.5	20	2	7	11.109324	74	890	118
2	1.4	20	2	8	14.19167188	77	930	134
2	1.3	20	2	8	17.44744375	79	960	138
2	1.2	20	2	9	20.90395977	96	1150	153
2	1.1	20	2	9	24.5512162	84	1020	156
2	1	20	2	10	28.37514347	105	1270	179
2	0.9	20	2	10	32.37639326	93	1130	171
2	0.8	20	2	11	36.57243002	108	1300	194
2	0.7	20	2	11	40.93598901	103	1250	186
2	0.6	20	2	12	45.53733668	117	1400	208
2	0.5	20	2	12	50.33086995	143	1720	225
2	0.4	20	2	13	55.40337658	171	2050	249
2	0.3	20	2	14	60.75060679	210	2500	277
2	0.2	20	2	15	66.45421424	246	2950	304
2	1.8	10	1	5	2.885539236	32	390	71
2	1.7	10	1	5	5.040557125	40	490	83
2	1.6	10	1	6	7.578846148	48	530	101
2	1.5	10	1	7	10.37305686	61	700	123
2	1.4	10	1	7	13.32004232	62	750	124
2	1.3	10	1	8	16.59240932	77	930	143
2	1.2	10	1	8	19.95594938	82	1000	148
2	1.1	10	1	9	23.60614654	96	1150	166
2	1	10	1	9	27.3749171	157	1880	167
2	0.9	10	1	10	31.44558806	140	1690	190
2	0.8	10	1	11	35.67298986	120	1440	210
2	0.7	10	1	11	40.04230766	214	2580	204
2	0.6	10	1	12	44.71215466	149	1790	234
2	0.5	10	1	13	49.58307424	185	2240	276
2	0.4	10	1	14	54.71590196	221	2650	309
2	0.3	10	1	15	60.16206513	282	3380	340
2	0.2	10	1	16	65.9968486	336	4050	398
2	1.8	5	0.5	4	2.302573747	22	280	51
2	1.7	5	0.5	5	4.2698256	30	350	70
2	1.6	5	0.5	5	6.549904205	34	420	77
2	1.5	5	0.5	6	9.225603221	45	530	98
2	1.4	5	0.5	7	12.15442537	56	680	117
2	1.3	5	0.5	7	15.24748759	119	1430	130
2	1.2	5	0.5	8	18.70916207	137	1640	153
2	1.1	5	0.5	9	22.34239002	157	1900	174
2	1	5	0.5	9	26.09709268	102	1220	180
2	0.9	5	0.5	10	30.16242395	129	1540	201
2	0.8	5	0.5	11	34.41653682	128	1540	222
2	0.7	5	0.5	11	38.82314508	139	1670	227
2	0.6	5	0.5	12	43.54626691	189	2210	273
2	0.5	5	0.5	13	48.525107	244	2800	304
2	0.4	5	0.5	14	53.76882363	302	3600	364
2	0.3	5	0.5	16	59.36584322	395	4740	429
2	0.2	5	0.5	17	65.36452845	487	5840	511
2	1.8	2.5	0.25	2	1.477048839	12	150	22
2	1.7	2.5	0.25	3	3.109656266	17	220	37
2	1.6	2.5	0.25	4	5.196322129	24	290	54
2	1.5	2.5	0.25	5	7.74794672	33	390	80
2	1.4	2.5	0.25	6	10.56614366	45	550	101
2	1.3	2.5	0.25	6	13.46333821	50	610	107
2	1.2	2.5	0.25	7	16.83953977	71	860	137
2	1.1	2.5	0.25	8	20.51838398	94	1130	164
2	1	2.5	0.25	9	24.34217178	112	1340	186
2	0.9	2.5	0.25	9	28.23662553	126	1500	191
2	0.8	2.5	0.25	10	32.54137118	233	2790	216
2	0.7	2.5	0.25	11	37.11626734	164	1970	242
2	0.6	2.5	0.25	12	41.93168854	220	2640	294
2	0.5	2.5	0.25	14	47.10541894	405	4870	361
2	0.4	2.5	0.25	15	52.4629831	405	4860	420
2	0.3	2.5	0.25	17	58.24517558	533	6380	533
2	0.2	2.5	0.25	19	64.47724144	810	9340	666
2	1.8	1.25	0.125	1	0.6890721621	11	140	13
2	1.7	1.25	0.125	2	1.938582596	11	140	22
2	1.6	1.25	0.125	2	3.443430621	14	170	28
2	1.5	1.25	0.125	3	5.543276489	19	230	43
2	1.4	1.25	0.125	4	8.281630817	32	380	65
2	1.3	1.25	0.125	5	11.26516965	62	700	90
2	1.2	1.25	0.125	5	13.99731762	51	560	97
2	1.1	1.25	0.125	6	17.64925752	92	1060	125
2	1	1.25	0.125	7	21.54538273	104	1150	153
2	0.9	1.25	0.125	8	25.65161771	142	1570	185
2	0.8	1.25	0.125	10	30.267027	196	2170	231
2	0.7	1.25	0.125	11	34.8208587	233	2560	266
2	0.6	1.25	0.125	12	39.71282358	297	3270	318
2	0.5	1.25	0.125	14	45.0002674	423	4840	404
