r	c	alpha	beta	Q_F	Pi_F	Time_F	CPUTime_F	Comp_F
2	1.8	20	2	5	3.456581602	28	30	406
2	1.7	20	2	6	5.843137976	28	30	406
2	1.6	20	2	7	8.476846916	28	30	406
2	1.5	20	2	7	11.34674726	28	30	406
2	1.4	20	2	8	14.41583382	28	30	406
2	1.3	20	2	8	17.67643394	29	30	406
2	1.2	20	2	9	21.11619366	29	30	406
2	1.1	20	2	9	24.74398119	28	30	406
2	1	20	2	10	28.53525079	29	30	406
2	0.9	20	2	10	32.52427923	30	30	406
2	0.8	20	2	11	36.68210338	29	30	406
2	0.7	20	2	11	41.04855593	29	30	406
2	0.6	20	2	12	45.61173017	30	30	406
2	0.5	20	2	12	50.39309842	29	30	406
2	0.4	20	2	13	55.442877	30	30	406
2	0.3	20	2	14	60.77422827	31	30	406
2	0.2	20	2	15	66.46592908	31	30	406
2	1.8	10	1	5	3.252570099	50	50	509
2	1.7	10	1	5	5.527729454	50	60	509
2	1.6	10	1	6	8.097421356	51	50	509
2	1.5	10	1	7	10.88340838	50	50	509
2	1.4	10	1	7	13.87717799	51	50	509
2	1.3	10	1	8	17.08590906	52	60	509
2	1.2	10	1	8	20.46218423	52	50	509
2	1.1	10	1	9	24.05960801	52	60	509
2	1	10	1	9	27.80394629	52	50	509
2	0.9	10	1	10	31.78491404	54	60	509
2	0.8	10	1	11	35.93097646	52	50	509
2	0.7	10	1	11	40.29987566	53	60	509
2	0.6	10	1	12	44.88844513	54	50	509
2	0.5	10	1	13	49.70682604	52	60	509
2	0.4	10	1	14	54.79701939	53	50	509
2	0.3	10	1	15	60.21151375	55	60	509
2	0.2	10	1	16	66.02326745	55	60	509
2	1.8	5	0.5	4	3.033636933	92	90	650
2	1.7	5	0.5	5	5.198608892	92	100	650
2	1.6	5	0.5	5	7.649886363	93	90	650
2	1.5	5	0.5	6	10.34594128	92	90	650
2	1.4	5	0.5	7	13.24448155	93	90	650
2	1.3	5	0.5	7	16.36508875	94	100	650
2	1.2	5	0.5	8	19.68932013	96	100	650
2	1.1	5	0.5	9	23.19171839	96	90	650
2	1	5	0.5	9	26.92743105	94	90	650
2	0.9	5	0.5	10	30.85270719	99	100	650
2	0.8	5	0.5	11	34.97832228	70	70	650
2	0.7	5	0.5	11	39.34518441	51	60	650
2	0.6	5	0.5	12	43.95040097	52	50	650
2	0.5	5	0.5	13	48.81440908	50	50	650
2	0.4	5	0.5	14	53.97263831	51	50	650
2	0.3	5	0.5	16	59.47582592	53	60	650
2	0.2	5	0.5	17	65.42724446	52	50	650
2	1.8	2.5	0.25	2	2.845572357	99	100	835
2	1.7	2.5	0.25	3	4.899086378	157	150	835
2	1.6	2.5	0.25	4	7.225073437	167	170	835
2	1.5	2.5	0.25	5	9.787298711	166	160	835
2	1.4	2.5	0.25	6	12.56435317	169	170	835
2	1.3	2.5	0.25	6	15.58234292	166	160	835
2	1.2	2.5	0.25	7	18.80354957	91	90	835
2	1.1	2.5	0.25	8	22.22784458	172	170	835
2	1	2.5	0.25	9	25.86131733	172	180	835
2	0.9	2.5	0.25	9	29.72801751	161	160	835
2	0.8	2.5	0.25	10	33.82365414	89	90	835
2	0.7	2.5	0.25	11	38.16241759	93	100	835
2	0.6	2.5	0.25	12	42.75780549	149	150	835
2	0.5	2.5	0.25	14	47.65356865	173	170	835
2	0.4	2.5	0.25	15	52.87491485	178	180	835
2	0.3	2.5	0.25	17	58.49867292	179	180	835
2	0.2	2.5	0.25	19	64.61268313	178	180	835
2	1.8	1.25	0.125	1	2.823193973	255	250	1076
2	1.7	1.25	0.125	2	4.760973857	219	210	1076
2	1.6	1.25	0.125	2	6.949544205	228	230	1076
2	1.5	1.25	0.125	3	9.385350795	246	240	1076
2	1.4	1.25	0.125	4	12.03008719	278	280	1076
2	1.3	1.25	0.125	5	14.88152137	281	280	1076
2	1.2	1.25	0.125	5	17.943312	236	240	1076
2	1.1	1.25	0.125	6	21.23461737	224	230	1076
2	1	1.25	0.125	7	24.74723286	164	160	1076
2	0.9	1.25	0.125	8	28.4920844	163	160	1076
2	0.8	1.25	0.125	10	32.48702215	158	160	1076
2	0.7	1.25	0.125	11	36.74793456	277	280	1076
2	0.6	1.25	0.125	12	41.29755144	252	250	1076
2	0.5	1.25	0.125	14	46.17812272	249	250	1076
2	0.4	1.25	0.125	16	51.44141611	264	270	1076
2	0.3	1.25	0.125	19	57.16065743	276	270	1076
2	0.2	1.25	0.125	23	63.47207207	281	280	1076
2	1.8	0.625	0.0625	0	3.046683587	385	390	1395
2	1.7	0.625	0.0625	0	4.95852921	338	340	1395
2	1.6	0.625	0.0625	1	7.094570712	314	320	1395
2	1.5	0.625	0.0625	1	9.411221878	344	350	1395
2	1.4	0.625	0.0625	2	11.91739193	322	320	1395
2	1.3	0.625	0.0625	3	14.59032903	396	390	1395
2	1.2	0.625	0.0625	3	17.48283936	314	310	1395
2	1.1	0.625	0.0625	4	20.57416764	369	360	1395
