r	c	alpha	beta	Q_T	Pi_T	Time_T	CPUTime_T	Comp_T
2	1.8	20	2	5	3.376339273	16567	132400	47243
2	1.7	20	2	6	5.750928579	17841	137750	52097
2	1.6	20	2	7	8.382890919	22171	171640	57139
2	1.5	20	2	7	11.24355754	17372	138840	58366
2	1.4	20	2	8	14.32172471	23542	183190	64600
2	1.3	20	2	8	17.57771207	22517	174680	64818
2	1.2	20	2	9	21.03445479	19176	152850	70918
2	1.1	20	2	9	24.66056281	21918	170230	71891
2	1	20	2	10	28.4685104	25613	199630	77363
2	0.9	20	2	10	32.46019004	26864	209100	79207
2	0.8	20	2	11	36.63281026	27893	217950	85373
2	0.7	20	2	11	41.00496398	22970	183590	86088
2	0.6	20	2	12	45.58075356	29326	228940	93557
2	0.5	20	2	12	50.36607887	29889	233860	95616
2	0.4	20	2	13	55.42552805	27364	213310	100188
2	0.3	20	2	14	60.76395662	33610	263360	107436
2	0.2	20	2	15	66.46074294	34912	273930	115243
2	1.8	10	1	5	3.091387215	22288	170640	59581
2	1.7	10	1	6	5.34313184	27794	217090	73502
2	1.6	10	1	6	7.879547354	27305	212870	71658
2	1.5	10	1	7	10.67641558	30711	240320	81661
2	1.4	10	1	8	13.66010027	31163	244000	97280
2	1.3	10	1	8	16.88980792	34152	267350	92389
2	1.2	10	1	9	20.27990463	39169	308040	105807
2	1.1	10	1	9	23.89182235	32666	255860	105446
2	1	10	1	10	27.66852677	38358	301260	119136
2	0.9	10	1	10	31.6538734	39634	311010	116372
2	0.8	10	1	11	35.82934841	39474	310370	126775
2	0.7	10	1	11	40.20702138	45813	356720	128428
2	0.6	10	1	12	44.82104463	45814	361150	139560
2	0.5	10	1	13	49.65939792	53172	414250	149247
2	0.4	10	1	14	54.76594221	47059	368960	164253
2	0.3	10	1	15	60.19250092	59339	464020	173503
2	0.2	10	1	16	66.0134287	62750	490620	190668
2	1.8	5	0.5	4	2.715109992	29337	229090	75004
2	1.7	5	0.5	5	4.838793918	34167	268120	92588
2	1.6	5	0.5	6	7.260105008	40392	317400	115324
2	1.5	5	0.5	6	9.935668322	39278	308610	114103
2	1.4	5	0.5	7	12.86903343	45273	353040	131662
2	1.3	5	0.5	8	15.9960345	54228	423170	155526
2	1.2	5	0.5	8	19.34837542	51231	404480	156078
2	1.1	5	0.5	9	22.90404906	54005	420960	171919
2	1	5	0.5	9	26.64051068	63486	496760	176965
2	0.9	5	0.5	10	30.61857053	69831	546020	199858
2	0.8	5	0.5	11	34.79361604	76246	598230	216234
2	0.7	5	0.5	12	39.18134834	77934	612600	240872
2	0.6	5	0.5	12	43.82095574	90710	709110	245288
2	0.5	5	0.5	13	48.72028273	89325	696420	266477
2	0.4	5	0.5	14	53.90757085	95307	749370	291103
2	0.3	5	0.5	16	59.44129536	115314	898650	330190
2	0.2	5	0.5	17	65.40780738	124577	979500	361218
2	1.8	2.5	0.25	3	2.279349326	31498	247070	102923
2	1.7	2.5	0.25	4	4.248519532	46431	360460	137543
2	1.6	2.5	0.25	5	6.535315407	50412	397320	172901
2	1.5	2.5	0.25	6	9.087553884	69934	530900	213522
2	1.4	2.5	0.25	6	11.90684521	78293	610020	215489
2	1.3	2.5	0.25	7	14.95717199	85553	647540	264609
2	1.2	2.5	0.25	8	18.21645683	97135	756250	300871
2	1.1	2.5	0.25	8	21.70058783	105682	812330	308157
2	1	2.5	0.25	9	25.41294846	118557	900800	347206
2	0.9	2.5	0.25	10	29.33968294	144962	1055830	398197
2	0.8	2.5	0.25	11	33.4955275	159286	1165370	439943
2	0.7	2.5	0.25	12	37.89446229	174200	1291780	483772
2	0.6	2.5	0.25	13	42.55413174	199851	1456550	531211
2	0.5	2.5	0.25	14	47.50726677	237076	1747160	579662
2	0.4	2.5	0.25	15	52.7688714	247718	1863810	630418
2	0.3	2.5	0.25	17	58.43588029	300307	2220910	726469
2	0.2	2.5	0.25	20	64.58533245	366277	2661060	862050
2	1.8	1.25	0.125	2	1.843843109	28293	224490	141660
2	1.7	1.25	0.125	3	3.660556409	58084	414030	223442
2	1.6	1.25	0.125	4	5.795916748	88053	624530	310653
2	1.5	1.25	0.125	5	8.209054289	138939	888700	395821
2	1.4	1.25	0.125	5	10.90664478	163801	1020900	416821
2	1.3	1.25	0.125	6	13.83060908	231829	1378920	505968
2	1.2	1.25	0.125	7	16.98138674	280369	1596620	595610
2	1.1	1.25	0.125	8	20.36139606	343392	1923240	688235
2	1	1.25	0.125	8	23.98248401	322732	2022500	710194
2	0.9	1.25	0.125	9	27.83998499	506985	2596410	833741
2	0.8	1.25	0.125	10	31.94619718	471044	3053980	924961
2	0.7	1.25	0.125	12	36.30180398	657717	3951480	1118832
2	0.6	1.25	0.125	13	40.96780862	665005	4484980	1222066
2	0.5	1.25	0.125	15	45.93370098	938771	5934930	1438824
2	0.4	1.25	0.125	17	51.27745773	1172087	7399630	1647490
2	0.3	1.25	0.125	19	57.06767801	1245660	9003570	1851324
2	0.2	1.25	0.125	23	63.43358964	1852399	13445610	2254400
2	1.8	0.625	0.0625	2	1.465286699	109925	546960	310667
2	1.7	0.625	0.0625	2	3.182765999	156317	754490	378506
2	1.6	0.625	0.0625	3	5.205684662	372141	1386840	550255
2	1.5	0.625	0.0625	3	7.494657939	459693	1742470	614330
2	1.4	0.625	0.0625	4	10.07088589	798008	2809510	833756
2	1.3	0.625	0.0625	5	12.86079263	1233026	4133690	1061203
2	1.2	0.625	0.0625	5	15.87370264	1313349	4470260	1108573
2	1.1	0.625	0.0625	6	19.13282646	1662852	6363170	1360465
2	1	0.625	0.0625	7	22.60718225	2204504	8936850	1626515
2	0.9	0.625	0.0625	8	26.30832356	2466441	10923620	1837801
2	0.8	0.625	0.0625	9	30.28466273	2767626	14111980	2078237
2	0.7	0.625	0.0625	11	34.55748514	4337576	19281310	2493323
2	0.6	0.625	0.0625	13	39.11803066	4911576	27543850	2992901
2	0.5	0.625	0.0625	15	44.03415163	5703174	33736530	3352396
2	0.4	0.625	0.0625	18	49.37167923	9102027	48604880	4008175
2	0.3	0.625	0.0625	21	55.23532681	8369438	61334740	4513709
2	0.2	0.625	0.0625	27	61.81056882	48674313	230052630	6126956
2	1.8	40	2	13	9.244114207	186580	1865160	92283
2	1.7	40	2	14	14.90592432	319635	3180330	100146
2	1.6	40	2	15	20.97658782	404618	4029670	106518
2	1.5	40	2	16	27.39078339	338602	3379180	113086
2	1.4	40	2	17	34.10465656	417920	4175300	117439
2	1.3	40	2	18	41.08844011	250502	2494090	125827
2	1.2	40	2	18	48.3411705	349528	3474040	126764
2	1.1	40	2	19	55.86746056	348338	3478010	131359
2	1	40	2	20	63.63392947	406634	4047640	136698
2	0.9	40	2	20	71.6555818	303200	3019160	138892
2	0.8	40	2	21	79.957165	352962	3516110	144946
2	0.7	40	2	22	88.51893257	419699	4181840	152353
2	0.6	40	2	23	97.36185936	414753	4141710	156789
2	0.5	40	2	24	106.5164672	435938	4349880	169006
2	0.4	40	2	25	116.0223205	427312	4270980	175444
2	0.3	40	2	26	125.9341224	583570	5824500	179204
2	0.2	40	2	27	136.333234	565038	5645310	188270
2	1.8	20	1	13	8.789556364	528698	5287190	133823
2	1.7	20	1	14	14.30517994	359024	3575910	141726
2	1.6	20	1	15	20.24087089	476463	4750030	151473
2	1.5	20	1	16	26.53300099	470744	4704020	162146
2	1.4	20	1	17	33.14263531	645491	6443420	175521
2	1.3	20	1	17	40.06257996	418161	4183830	175914
2	1.2	20	1	18	47.2674589	568848	5682820	184418
2	1.1	20	1	19	54.74170843	587654	5864560	194648
2	1	20	1	20	62.48161785	518010	5157390	206758
2	0.9	20	1	20	70.4980935	658714	6580430	212392
2	0.8	20	1	21	78.80548449	600496	5985090	220793
2	0.7	20	1	22	87.39990925	702617	7008020	231692
2	0.6	20	1	23	96.29783209	783426	7818810	245376
2	0.5	20	1	24	105.5292989	811613	8097180	256173
2	0.4	20	1	25	115.1305597	881320	8800860	269939
2	0.3	20	1	27	125.1597827	645840	6529220	289064
2	0.2	20	1	28	135.7276336	378975	4162550	306550
2	1.8	10	0.5	11	8.212297752	263324	2892380	177899
2	1.7	10	0.5	13	13.51112204	294756	3237460	216848
2	1.6	10	0.5	14	19.27635781	316561	3472370	238537
2	1.5	10	0.5	15	25.42453838	339273	3715410	257125
2	1.4	10	0.5	16	31.91744712	341269	3747430	277170
2	1.3	10	0.5	17	38.73003104	364146	3967840	299782
2	1.2	10	0.5	18	45.84579407	372001	4085690	319404
2	1.1	10	0.5	19	53.25767945	387638	4215840	339432
2	1	10	0.5	19	60.96704847	381018	4184120	340516
2	0.9	10	0.5	20	68.97569579	372848	4087210	362168
2	0.8	10	0.5	21	77.28527933	388143	4255380	384810
2	0.7	10	0.5	22	85.90750588	415690	4548260	406181
2	0.6	10	0.5	24	94.86652686	433380	4753070	447886
2	0.5	10	0.5	25	104.194142	443968	4868630	464925
2	0.4	10	0.5	26	113.9199168	469772	5148630	493754
2	0.3	10	0.5	28	124.123522	501015	5472150	538263
2	0.2	10	0.5	30	134.9095785	525561	5756930	584867
2	1.8	5	0.25	9	7.489114545	289033	3148270	271917
2	1.7	5	0.25	11	12.54039821	352166	3821520	348907
2	1.6	5	0.25	12	18.07706003	369110	3992690	389229
2	1.5	5	0.25	13	24.02645641	384963	4162990	430218
2	1.4	5	0.25	15	30.35873635	439237	4662730	507716
2	1.3	5	0.25	16	37.03867751	443977	4747970	548312
2	1.2	5	0.25	17	44.04799642	476396	5017520	591166
2	1.1	5	0.25	18	51.37848597	500661	5207490	639432
2	1	5	0.25	19	59.02759292	534299	5720670	677412
2	0.9	5	0.25	20	66.9976292	552278	5947490	721436
2	0.8	5	0.25	21	75.29548493	571714	6183210	769490
2	0.7	5	0.25	23	83.95592014	648854	6790580	854253
