r	c	alpha	beta	Q_Tm	Pi_Tm	Time_Tm	CPUTime_Tm	Comp_Tm
2	1.8	20	2	5	3.376186382	7624	91370	31405
2	1.7	20	2	6	5.750741672	8007	95710	35329
2	1.6	20	2	7	8.382604734	9605	115170	42031
2	1.5	20	2	7	11.24339301	8399	100690	42074
2	1.4	20	2	8	14.32151963	9957	119370	46741
2	1.3	20	2	8	17.57754557	10386	124170	49867
2	1.2	20	2	9	21.03430043	10475	125590	54248
2	1.1	20	2	9	24.66042213	10113	120950	56234
2	1	20	2	10	28.46823268	10402	124720	61913
2	0.9	20	2	10	32.45956325	12084	144870	62533
2	0.8	20	2	11	36.63278391	13398	159570	67063
2	0.7	20	2	11	41.00495085	12754	152910	68879
2	0.6	20	2	12	45.58067935	14202	168190	75367
2	0.5	20	2	12	50.36606496	14575	174750	77573
2	0.4	20	2	13	55.42552126	14660	175740	84652
2	0.3	20	2	14	60.76395436	16848	202000	89498
2	0.2	20	2	15	66.46074245	17727	212240	96378
2	1.8	10	1	5	3.090683842	9932	117970	41621
2	1.7	10	1	5	5.312566071	10875	130390	43653
2	1.6	10	1	6	7.878753927	12914	154840	53082
2	1.5	10	1	7	10.67573649	14923	178630	61471
2	1.4	10	1	7	13.6544528	14533	174240	66381
2	1.3	10	1	8	16.88863713	16919	202860	71376
2	1.2	10	1	8	20.26034827	17163	205770	74159
2	1.1	10	1	9	23.89143219	16588	198600	83697
2	1	10	1	9	27.63839435	19105	229060	84257
2	0.9	10	1	10	31.65364527	21635	259390	93837
2	0.8	10	1	11	35.82892503	23652	283310	104904
2	0.7	10	1	11	40.20662859	23956	287200	107639
2	0.6	10	1	12	44.82097943	26487	317260	117315
2	0.5	10	1	13	49.65932495	28269	338900	126448
2	0.4	10	1	14	54.76590973	29376	350440	140400
2	0.3	10	1	15	60.19249143	33864	406000	150980
2	0.2	10	1	16	66.01333309	37229	446060	164216
2	1.8	5	0.5	4	2.712369164	13830	165810	48969
2	1.7	5	0.5	5	4.836259893	17649	211600	64990
2	1.6	5	0.5	5	7.216589393	18559	222230	70225
2	1.5	5	0.5	6	9.93354795	19649	235570	85625
2	1.4	5	0.5	7	12.86742629	23338	279830	101496
2	1.3	5	0.5	7	15.96732114	25947	310800	107498
2	1.2	5	0.5	8	19.34588858	29772	356930	125158
2	1.1	5	0.5	9	22.90322033	31457	376870	141147
2	1	5	0.5	9	26.63944973	33474	401330	146008
2	0.9	5	0.5	10	30.61793475	37964	454860	163563
2	0.8	5	0.5	11	34.79333482	39207	468290	185154
2	0.7	5	0.5	11	39.17195482	43083	516200	190184
2	0.6	5	0.5	12	43.82082704	46413	556150	212918
2	0.5	5	0.5	13	48.72016646	50755	608200	229878
2	0.4	5	0.5	14	53.9070382	56964	679720	257341
2	0.3	5	0.5	16	59.44128843	64553	772360	292893
2	0.2	5	0.5	17	65.40779883	71615	858300	326143
2	1.8	2.5	0.25	2	2.151207145	11938	142820	38744
2	1.7	2.5	0.25	3	4.139346392	17850	214010	70205
2	1.6	2.5	0.25	4	6.46474842	22908	274650	98514
2	1.5	2.5	0.25	5	9.067650131	28865	345800	133022
2	1.4	2.5	0.25	6	11.90334036	35923	430690	165824
2	1.3	2.5	0.25	6	14.87841563	38950	466680	180668
2	1.2	2.5	0.25	7	18.18924262	47314	566920	214964
2	1.1	2.5	0.25	8	21.69846746	55369	663520	255106
2	1	2.5	0.25	9	25.41180141	66359	795290	286799
2	0.9	2.5	0.25	9	29.28413958	67880	813450	300386
2	0.8	2.5	0.25	10	33.4635194	80013	956940	341978
2	0.7	2.5	0.25	11	37.87162332	90744	1087580	391813
2	0.6	2.5	0.25	12	42.53093019	102071	1223110	427860
2	0.5	2.5	0.25	14	47.50687019	123162	1475990	510503
2	0.4	2.5	0.25	15	52.76845609	141298	1693340	567140
2	0.3	2.5	0.25	17	58.4358694	166552	1995530	656737
2	0.2	2.5	0.25	19	64.58162599	197476	2366550	759175
2	1.8	1.25	0.125	1	1.578064274	6234	74680	32228
2	1.7	1.25	0.125	2	3.501752212	16193	193930	81483
2	1.6	1.25	0.125	2	5.411911939	19967	239360	99308
2	1.5	1.25	0.125	3	7.990073969	34671	415390	164913
2	1.4	1.25	0.125	4	10.76834009	49191	589410	241824
2	1.3	1.25	0.125	5	13.75035499	66089	792020	309149
2	1.2	1.25	0.125	5	16.75426221	73672	882690	339153
2	1.1	1.25	0.125	6	20.19528008	91910	1101580	420555
2	1	1.25	0.125	7	23.86932376	114099	1367640	519110
2	0.9	1.25	0.125	8	27.74507867	143800	1723490	600783
2	0.8	1.25	0.125	10	31.94369003	187386	2245770	758011
2	0.7	1.25	0.125	11	36.29228423	223330	2676400	855374
2	0.6	1.25	0.125	12	40.93355018	258910	3103040	952093
2	0.5	1.25	0.125	14	45.92728928	326204	3907670	1120286
2	0.4	1.25	0.125	16	51.27349305	404891	4852440	1299786
2	0.3	1.25	0.125	19	57.06749809	524909	6290880	1545550
2	0.2	1.25	0.125	23	63.43358	721065	8640400	1878450
2	1.8	0.625	0.0625	0	0	0	0	4
2	1.7	0.625	0.0625	0	0	0	0	4
2	1.6	0.625	0.0625	1	4.499160564	12034	144270	86711
2	1.5	0.625	0.0625	1	6.41935969	18250	218770	97666
2	1.4	0.625	0.0625	2	9.501638716	42810	512990	252406
2	1.3	0.625	0.0625	3	12.55698984	81895	980290	416846
2	1.2	0.625	0.0625	3	15.33045456	86640	1038140	455280
2	1.1	0.625	0.0625	4	18.75189139	131615	1577320	616509
2	1	0.625	0.0625	5	22.31324464	189477	2270750	788283
2	0.9	0.625	0.0625	6	26.0567388	256477	3073420	963516
2	0.8	0.625	0.0625	8	30.18052107	387919	4649070	1257722
2	0.7	0.625	0.0625	9	34.38549614	488825	5858590	1433708
2	0.6	0.625	0.0625	11	39.05083916	668544	8012340	1739757
2	0.5	0.625	0.0625	14	44.02174894	981520	11763800	2157231
2	0.4	0.625	0.0625	17	49.37139479	1353159	16213960	2587867
2	0.3	0.625	0.0625	21	55.23410845	1957160	23456810	3130591
2	0.2	0.625	0.0625	26	61.80828272	2900238	34753180	3814526
2	1.8	40	2	13	9.244003546	14101	169010	77728
2	1.7	40	2	14	14.90580116	16321	195380	82172
2	1.6	40	2	15	20.97645153	17863	214150	89455
2	1.5	40	2	16	27.39066271	18495	221740	94138
2	1.4	40	2	17	34.10456119	20581	246490	102654
2	1.3	40	2	18	41.08832809	21062	252520	107410
2	1.2	40	2	18	48.34103928	21259	254880	109051
2	1.1	40	2	19	55.86738594	20862	250120	113271
2	1	40	2	20	63.63374351	21590	258850	120997
2	0.9	40	2	20	71.65555599	25116	296970	121002
2	0.8	40	2	21	79.95714853	25175	299570	129123
2	0.7	40	2	22	88.51891758	25101	298920	134060
2	0.6	40	2	23	97.36172302	24174	289840	141293
2	0.5	40	2	23	106.5136279	27614	328520	143681
2	0.4	40	2	24	116.0209901	26271	314690	149699
2	0.3	40	2	26	125.9341221	30351	363580	159913
2	0.2	40	2	27	136.3332339	30029	360010	172148
2	1.8	20	1	12	8.788459076	24385	292340	103034
2	1.7	20	1	14	14.30470264	27139	324560	121330
2	1.6	20	1	15	20.24042686	28422	340740	130018
2	1.5	20	1	16	26.5325773	30093	358930	140398
2	1.4	20	1	16	33.13634913	30491	365270	143259
2	1.3	20	1	17	40.06223968	36691	439910	153522
2	1.2	20	1	18	47.26690864	39168	467280	162484
2	1.1	20	1	19	54.74149435	39162	469230	172147
2	1	20	1	20	62.48146184	42392	508220	180954
2	0.9	20	1	20	70.49798996	42945	512290	190005
2	0.8	20	1	21	78.80527283	43760	523840	198285
2	0.7	20	1	22	87.39985046	47386	567340	208574
2	0.6	20	1	23	96.29777008	48048	575760	218253
2	0.5	20	1	24	105.5291519	50560	606170	232381
2	0.4	20	1	25	115.130499	53395	637820	246058
2	0.3	20	1	27	125.1597672	56248	674030	265079
2	0.2	20	1	28	135.7276328	59348	711260	282180
2	1.8	10	0.5	11	8.211151348	34465	412880	148730
2	1.7	10	0.5	12	13.49976903	37989	455170	169849
2	1.6	10	0.5	13	19.24713262	43364	518200	191345
2	1.5	10	0.5	14	25.38953467	46705	557900	208189
2	1.4	10	0.5	15	31.88373122	48466	580790	229071
2	1.3	10	0.5	16	38.70283474	53323	639020	247021
2	1.2	10	0.5	17	45.82930431	58592	701340	268681
2	1.1	10	0.5	18	53.25226917	61343	735150	285212
2	1	10	0.5	19	60.96645511	67077	803910	307251
2	0.9	10	0.5	20	68.97534814	71918	857530	328787
2	0.8	10	0.5	21	77.28503369	74168	888880	351131
2	0.7	10	0.5	22	85.90719533	82901	989140	369299
2	0.6	10	0.5	23	94.86014826	86209	1032990	395402
2	0.5	10	0.5	25	104.1939096	94866	1134960	429742
2	0.4	10	0.5	26	113.919889	102627	1227780	458747
2	0.3	10	0.5	28	124.123517	116754	1398170	498318
2	0.2	10	0.5	30	134.9095768	129525	1550670	548400
2	1.8	5	0.25	9	7.486277334	49088	587440	223017
2	1.7	5	0.25	10	12.50195481	60208	721560	265201
2	1.6	5	0.25	11	18.00766214	67950	812840	301665
