n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	3.172659	1.35749	1.35749	1.35749	0.006294197893	0.004728144331	0.004728144331	0.004728144331	7.867934	5	5	5	0.01114448604	0	0	0
1	3.168785	2.629049	2.252512	1.865456	0.0062968196	0.006038079861	0.00546479774	0.004936441913	7.867934	7.083394	6.475872	5.857948	0.01114448604	0.00954755436	0.006960193874	0.004141089787
2	3.169053	2.844669	2.6347925	2.162651	0.006297988252	0.006148436158	0.005884184171	0.004506778643	7.867934	7.392858	7.078737	5.91283	0.01114448604	0.01025139734	0.009169656629	0.005167318493
3	3.161469	2.9323835	2.796797	2.3413655	0.006313123835	0.006207761337	0.006066381628	0.005260911665	7.867934	7.526587	7.325098	6.629807	0.01114448604	0.01056880239	0.009968102776	0.006751263177
4	3.167569	2.987764	2.887651	2.5014045	0.00629898961	0.006200327423	0.006136673613	0.005158204358	7.867934	7.576384	7.450042	6.718501	0.01114448604	0.01069461985	0.01032881319	0.007160965795
5	3.168211	3.018637	2.940405	2.6045405	0.006298358488	0.006233718229	0.006184570251	0.005203021139	7.867934	7.646782	7.527294	6.829053	0.01114448604	0.01077962355	0.01053112576	0.007570480918
6	3.170855	3.0451375	2.980585	2.6870305	0.006298568153	0.006234850259	0.006204653307	0.005648593893	7.867934	7.674143	7.578378	7.185673	0.01114448604	0.01081487305	0.01065709667	0.008701279162
7	3.169319	3.0602665	3.004575	2.7637885	0.006296851157	0.00624097897	0.006220254358	0.005635931399	7.867934	7.700141	7.616394	7.222533	0.01114448604	0.01085070803	0.01074627346	0.008920002588
8	3.163879	3.0674845	3.0193095	2.8128705	0.006299557698	0.006265866431	0.006232144938	0.005651150303	7.867934	7.738693	7.644347	7.245605	0.01114448604	0.01089714605	0.010808602	0.009129773598
9	3.165045	3.0792105	3.0375765	2.8582855	0.006295251032	0.006256203988	0.006234274409	0.005738905043	7.867934	7.744545	7.665461	7.348139	0.01114448604	0.01091869449	0.01085381556	0.009326952159
10	3.168463	3.0901095	3.05101	2.8943215	0.006308352664	0.006271626292	0.006256088249	0.005809659236	7.867934	7.758771	7.68246	7.404387	0.01114448604	0.0109254487	0.0108904167	0.009539273455
11	3.167849	3.095907	3.061753	2.9236085	0.006297547113	0.006260971138	0.006251893157	0.005949529491	7.867934	7.757998	7.696754	7.506129	0.01114448604	0.01097358445	0.010922742	0.0100498439
12	3.166681	3.101498	3.0695685	2.9504805	0.006296127059	0.006267878475	0.006256516692	0.005967239503	7.867934	7.768292	7.708949	7.508221	0.01114448604	0.0109889981	0.01094749495	0.01014969214
13	3.167959	3.1077075	3.078296	2.9738875	0.006292901673	0.006260315033	0.006257633415	0.0059913615	7.867934	7.767927	7.718532	7.537071	0.01114448604	0.01099894697	0.01096633593	0.01021395039
14	3.166197	3.110447	3.082096	2.9882575	0.006298912133	0.006275034727	0.006265037665	0.006034858729	7.867934	7.78521	7.727936	7.569459	0.01114448604	0.0110010693	0.01098352882	0.01030174864
15	3.167099	3.113724	3.088342	3.004056	0.006291899253	0.006265639353	0.006259178414	0.006053466453	7.867934	7.787588	7.735224	7.593132	0.01114448604	0.01101117616	0.0109976505	0.01040089778
16	3.167605	3.117897	3.0928435	3.015786	0.006293805949	0.006267815083	0.006262410273	0.006077065235	7.867934	7.792074	7.742295	7.609028	0.01114448604	0.01102243958	0.0110103737	0.01046559531
17	3.170429	3.1250415	3.1020425	3.030876	0.006299021728	0.006278072489	0.00626977602	0.006096109625	7.867934	7.800915	7.748325	7.617572	0.01114448604	0.0110237617	0.01101986226	0.01054738881
18	3.165859	3.1219365	3.099534	3.036615	0.00629643437	0.006276013192	0.006267813608	0.006121001579	7.867934	7.805165	7.753608	7.640546	0.01114448604	0.01102932352	0.01103011392	0.01060806143
