N	r	c	alpha	beta	Pi_Em	Pi_Tm	Pi_F	Pi_P	Run_Time
101	2	0.2	20	2	1697.315391	1697.358364	1697.400594	1700.31319	148556806
101	2	0.3	20	2	1557.914882	1558.001852	1558.083889	1561.775831	185807603
101	2	0.4	20	2	1425.574079	1425.728261	1425.86705	1430.125653	218504123
101	2	0.5	20	2	1302.188686	1302.433499	1302.63922	1307.32254	248321500
101	2	0.6	20	2	1182.810948	1183.151572	1183.417003	1188.398727	273791586
101	2	0.7	20	2	1068.306337	1068.773153	1069.124322	1074.268288	546847908
101	2	0.8	20	2	958.8939748	959.4638616	959.8914244	965.1178232	318947646
101	2	0.9	20	2	853.0896922	853.83559	854.3562354	859.5671336	618775300
101	2	1	20	2	751.417186	752.305702	752.901897	758.00741	434254425
101	2	1.1	20	2	654.3164639	655.4080367	656.0922275	661.0201022	452438368
101	2	1.2	20	2	560.8373255	562.1314112	562.8716672	567.5524516	463766622
101	2	1.3	20	2	471.3801366	472.8786271	473.7125018	478.0709249	472807830
101	2	1.4	20	2	386.4188782	388.1193052	388.9850866	392.9382078	478006141
101	2	1.5	20	2	305.4016635	307.299904	308.228465	311.7119425	517042296
101	2	1.6	20	2	229.6585608	231.751762	232.6683036	235.615422	623873440
101	2	1.7	20	2	158.9391371	161.1914978	162.0930601	164.4180317	649688776
101	2	1.8	20	2	94.30346602	96.70780161	97.51014061	99.15962001	436178525
101	2	0.2	10	1	1696.609805	1696.667159	1696.717368	1700.209206	148017432
101	2	0.3	10	1	1557.656344	1557.775546	1557.87636	1562.309077	185024214
101	2	0.4	10	1	1427.759135	1427.96818	1428.139104	1433.281251	218181151
101	2	0.5	10	1	1302.436004	1302.758806	1303.003436	1308.628725	247208179
101	2	0.6	10	1	1183.101299	1183.560828	1183.89911	1189.863539	273373122
101	2	0.7	10	1	1067.572435	1068.226162	1068.676417	1074.845758	297066556
101	2	0.8	10	1	958.6025164	959.3731656	959.9048716	966.1701552	317458386
101	2	0.9	10	1	853.1489374	854.170436	854.8260286	861.0422533	336494543
101	2	1	10	1	751.79159	753.080122	753.866496	759.980785	434038318
101	2	1.1	10	1	654.5159755	656.0299153	656.8980884	662.7691523	449764631
101	2	1.2	10	1	560.984876	562.7501652	563.74014	569.3212492	462585979
101	2	1.3	10	1	471.3015731	473.3394348	474.3920992	479.5596687	471261321
101	2	1.4	10	1	386.1912982	388.590136	389.7420164	394.4459366	475715636
101	2	1.5	10	1	305.288154	307.9317305	309.095888	313.2246925	475572271
101	2	1.6	10	1	229.0087412	232.002086	233.1942116	236.687646	495762318
101	2	1.7	10	1	158.1099968	161.4293379	162.6131175	165.3873449	453607115
101	2	1.8	10	1	93.4689008	96.91822959	97.94384939	99.88129599	465272307
101	2	0.2	5	0.5	1698.448232	1698.542481	1698.607389	1702.81037	147776063
101	2	0.3	5	0.5	1558.343934	1558.525162	1558.650516	1563.973837	184470268
101	2	0.4	5	0.5	1428.748799	1429.074037	1429.295353	1435.421327	217859315
101	2	0.5	5	0.5	1304.028257	1304.515665	1304.833725	1311.535182	246497485
101	2	0.6	5	0.5	1183.563078	1184.253406	1184.692486	1191.784465	272405513
101	2	0.7	5	0.5	1070.484458	1071.415038	1071.987709	1079.317273	296228023
101	2	0.8	5	0.5	960.8671484	961.9858972	962.6691864	970.08869	316620065
101	2	0.9	5	0.5	854.763728	856.1685102	856.9887982	864.3565541	334918512
101	2	1	5	0.5	752.272899	754.033212	755.009917	762.212317	431073303
101	2	1.1	5	0.5	655.1132822	657.1421475	658.206873	665.1521326	447186172
101	2	1.2	5	0.5	561.0876624	563.54678	564.77436	571.3252248	458864790
101	2	1.3	5	0.5	471.9945616	474.9813822	476.3534554	482.4235094	467518074
101	2	1.4	5	0.5	386.8278682	390.2946128	391.7044276	397.214083	471814364
101	2	1.5	5	0.5	305.4431975	309.302596	310.807442	315.6324485	470848764
101	2	1.6	5	0.5	229.0191624	233.3148424	234.8838744	238.9519752	474508186
101	2	1.7	5	0.5	158.0067231	162.6465343	164.1156994	167.3263234	449313831
101	2	1.8	5	0.5	92.7362868	97.8681764	99.223001	101.4616038	483946111
101	2	0.2	2.5	0.25	1698.216803	1698.376569	1698.457043	1703.576361	146047035
101	2	0.3	2.5	0.25	1562.313177	1562.625921	1562.793248	1569.225866	183260241
101	2	0.4	2.5	0.25	1431.860334	1432.372588	1432.653822	1440.037705	215104555
101	2	0.5	2.5	0.25	1307.177144	1307.90169	1308.301567	1316.350651	243726849
101	2	0.6	2.5	0.25	1187.062683	1188.158023	1188.735087	1197.212116	269562906
101	2	0.7	2.5	0.25	1072.426153	1073.867046	1074.615246	1083.329041	292616896
101	2	0.8	2.5	0.25	964.4377664	966.2956156	967.2197344	976.0116336	313831448
101	2	0.9	2.5	0.25	859.0438264	861.3015927	862.432279	871.158682	331403109
101	2	1	2.5	0.25	757.922437	760.49001	761.739376	770.237983	428136356
101	2	1.1	2.5	0.25	659.5458855	662.5656459	664.0231781	672.1520411	443191401
101	2	1.2	2.5	0.25	565.7844612	569.5293676	571.1881876	578.847492	456242588
101	2	1.3	2.5	0.25	474.7103547	479.0737954	480.9861991	488.0458713	463194634
101	2	1.4	2.5	0.25	390.0138484	394.7460656	396.6821128	403.0616876	531400823
101	2	1.5	2.5	0.25	307.7058535	313.1835525	315.315827	320.874891	615676656
101	2	1.6	2.5	0.25	230.0888372	236.2289788	238.6422812	243.2903684	733896653
101	2	1.7	2.5	0.25	158.2140157	165.0799161	167.4314187	171.0722302	761839607
101	2	1.8	2.5	0.25	92.11514201	99.42185681	101.8212832	104.3457844	424919154
101	2	0.2	1.25	0.125	1704.755385	1705.032341	1705.146236	1711.572876	143319405
101	2	0.3	1.25	0.125	1565.704491	1566.268612	1566.527757	1574.501161	179902609
101	2	0.4	1.25	0.125	1435.926547	1436.91074	1437.405851	1446.445041	214890927
101	2	0.5	1.25	0.125	1313.117098	1314.53827	1315.27142	1325.053248	239669428
101	2	0.6	1.25	0.125	1193.234402	1195.192432	1196.286927	1206.510248	296629809
101	2	0.7	1.25	0.125	1081.946566	1084.483355	1085.762414	1096.212833	325394435
101	2	0.8	1.25	0.125	969.9137264	972.8161828	974.659198	985.086916	331757023
101	2	0.9	1.25	0.125	866.2068252	870.0044282	872.0915421	882.3654237	326805092
101	2	1	1.25	0.125	763.788547	768.256913	770.586015	780.521856	237731680
101	2	1.1	1.25	0.125	665.2755723	670.342109	674.4704996	683.922278	246723773
101	2	1.2	1.25	0.125	571.0539984	577.1114872	581.291756	590.1178696	256374960
101	2	1.3	1.25	0.125	481.7488166	488.1396775	491.8893849	499.9517807	276634902
101	2	1.4	1.25	0.125	395.2851874	402.4188718	406.112212	413.3128042	278620416
101	2	1.5	1.25	0.125	311.291975	319.881333	323.618546	329.8286345	275875291
101	2	1.6	1.25	0.125	232.932676	241.9518784	246.5782948	251.7354148	272846215
101	2	1.7	1.25	0.125	159.9755792	170.1673574	173.8900606	177.8486359	344562388
101	2	1.8	1.25	0.125	93.03060381	102.668961	106.9051896	109.595436	254691737
101	2	0.2	0.625	0.0625	1706.560146	1707.428593	1707.952408	1716.230816	138435994
101	2	0.3	0.625	0.0625	1575.51051	1577.000923	1577.994444	1588.056299	173934877
101	2	0.4	0.625	0.0625	1447.126837	1449.274491	1450.785821	1462.008261	277845767
101	2	0.5	0.625	0.0625	1320.969474	1323.694141	1326.324023	1338.24591	231425538
101	2	0.6	0.625	0.0625	1205.976037	1209.775266	1212.412132	1224.712083	257569486
101	2	0.7	0.625	0.0625	1093.724382	1098.141397	1104.831462	1117.22931	280063193
101	2	0.8	0.625	0.0625	984.45539	989.5590036	995.6965001	1007.919782	299899339
101	2	0.9	0.625	0.0625	880.9615386	887.2233893	892.99977	904.8563485	318101661
101	2	1	0.625	0.0625	776.61208	783.514794	789.332927	800.601849	276158662
101	2	1.1	0.625	0.0625	680.2510646	688.3313746	693.8510831	704.4415035	288777452
101	2	1.2	0.625	0.0625	584.5716912	593.7249448	599.10741	608.8497856	305281591
101	2	1.3	0.625	0.0625	494.1967115	503.7826051	508.8782471	517.6723205	310765982
101	2	1.4	0.625	0.0625	406.97732	417.9727562	424.8861606	432.6502684	317677699
101	2	1.5	0.625	0.0625	322.7358645	334.190482	340.857162	347.4622075	383397008
101	2	1.6	0.625	0.0625	242.4502808	254.620968	261.1877953	266.5565076	375702715
101	2	1.7	0.625	0.0625	0	0	186.0559842	190.1356319	183200130
101	2	1.8	0.625	0.0625	0	0	116.1583506	118.8757722	187327828
101	2	0.2	40	2	3467.814779	3467.866361	3467.904499	3471.741485	399234196
101	2	0.3	40	2	3211.580251	3211.697814	3211.769939	3216.702601	695344370
101	2	0.4	40	2	2966.52604	2966.747708	2966.869667	2972.634947	836403383
101	2	0.5	40	2	2731.440596	2731.778426	2731.96442	2738.357131	895465420
101	2	0.6	40	2	2501.572509	2502.028025	2502.271662	2509.109228	614546247
101	2	0.7	40	2	2280.207594	2280.825714	2281.144302	2288.274752	678337063
101	2	0.8	40	2	2064.698568	2065.496553	2065.895136	2073.190618	736132632
101	2	0.9	40	2	1856.16348	1857.204229	1857.686832	1865.013337	793680286
101	2	1	40	2	1652.70457	1653.949495	1654.50241	1661.74753	824972301
101	2	1.1	40	2	1455.241734	1456.778098	1457.42017	1464.465999	466562184
101	2	1.2	40	2	1263.252814	1265.079295	1265.816825	1272.564956	235597357
101	2	1.3	40	2	1077.466479	1079.512518	1080.289823	1086.629304	975450319
101	2	1.4	40	2	896.8324442	899.2405	900.0635796	905.8723452	958914315
101	2	1.5	40	2	723.015694	725.7607865	726.644608	731.817871	977765854
101	2	1.6	40	2	556.2206484	559.270044	560.158396	564.5947468	988828570
101	2	1.7	40	2	397.175328	400.4617744	401.3238399	404.8928191	988442493
101	2	1.8	40	2	247.3439054	250.7888312	251.5543866	254.1223554	967135057
101	2	0.2	20	1	3466.184207	3466.261594	3466.304664	3470.943761	469592361
101	2	0.3	20	1	3211.227045	3211.385759	3211.478451	3217.411798	495268088
101	2	0.4	20	1	2964.987175	2965.281841	2965.436775	2972.34433	464485002
101	2	0.5	20	1	2729.462329	2729.908947	2730.137006	2737.797917	534873309
101	2	0.6	20	1	2501.803624	2502.43994	2502.746846	2510.939663	600287406
101	2	0.7	20	1	2280.098958	2280.968722	2281.374194	2289.929691	662010445
101	2	0.8	20	1	2064.411302	2065.540336	2066.046202	2074.787524	718540445
101	2	0.9	20	1	1855.070547	1856.493903	1857.105051	1865.888054	770643968
101	2	1	20	1	1651.72475	1653.415155	1654.108573	1662.794926	655973691
101	2	1.1	20	1	1453.591704	1455.62324	1456.426613	1464.846544	690148595
101	2	1.2	20	1	1261.925992	1264.39291	1265.296105	1273.360815	721081781
101	2	1.3	20	1	1075.89158	1078.806382	1079.800959	1087.360814	748155605
101	2	1.4	20	1	895.198298	898.5196616	899.6010374	906.5323724	956204465
101	2	1.5	20	1	721.64446	725.3089245	726.404368	732.593761	974057468
101	2	1.6	20	1	554.90661	559.0342716	560.1506392	565.4463496	984312347
101	2	1.7	20	1	395.6438026	400.2763054	401.3503945	405.6199088	982129846
101	2	1.8	20	1	245.6805876	250.7108108	251.6939848	254.7649812	1053369359
101	2	0.2	10	0.5	3467.476193	3467.590133	3467.646516	3473.20478	303662049
101	2	0.3	10	0.5	3209.939351	3210.185156	3210.301842	3217.415375	371008575
101	2	0.4	10	0.5	2965.913588	2966.346257	2966.546877	2974.831123	374143627
101	2	0.5	10	0.5	2728.525813	2729.1566	2729.438694	2738.610937	467059359
101	2	0.6	10	0.5	2502.020467	2502.967218	2503.368347	2513.169023	482381423
101	2	0.7	10	0.5	2279.516986	2280.785875	2281.301073	2291.513803	530581243
101	2	0.8	10	0.5	2064.148027	2065.728743	2066.36652	2076.797964	575242354
101	2	0.9	10	0.5	1855.554243	1857.555458	1858.33233	1868.782242	617393345
101	2	1	10	0.5	1651.09722	1653.542392	1654.446858	1664.759067	460027002
101	2	1.1	10	0.5	1453.886796	1456.782753	1457.818298	1467.843868	485558594
101	2	1.2	10	0.5	1260.881078	1264.37517	1265.534422	1275.101402	505295107
101	2	1.3	10	0.5	1074.811671	1078.905854	1080.176107	1089.128053	523106850
101	2	1.4	10	0.5	894.4725478	899.1238512	900.487895	908.6951908	766899730
101	2	1.5	10	0.5	720.5554085	725.967303	727.3902645	734.687453	801124339
101	2	1.6	10	0.5	553.05405	559.222118	560.6710664	566.8972516	896964645
101	2	1.7	10	0.5	394.0128295	400.4369492	401.8223078	406.8236014	789410202
