n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	14.4754472	7.645408	7.645408	7.645408	0.03908730197	0.02515212095	0.02515212095	0.02515212095	12.135562	17	17	17	0.02756609282	0	0	0
1	14.4781692	13.7496328	13.56407	12.6144116	0.03910455362	0.03834655082	0.03735761699	0.03231989434	12.135562	12.909463	13.142335	13.613011	0.02756609282	0.02780425364	0.02854296498	0.02688064026
2	14.4724132	14.0664288	14.01299	13.7316236	0.03908477303	0.03868362514	0.03849821254	0.03641627542	12.135562	12.609053	12.682425	12.828236	0.02756609282	0.02770423921	0.02784514166	0.02799969285
3	14.4821392	14.2038204	14.1743568	14.0795156	0.03909657144	0.03882453553	0.03874162904	0.03798503992	12.135562	12.426774	12.439038	12.498111	0.02756609282	0.02771698641	0.02782273712	0.02792874265
4	14.4762452	14.2617232	14.2368056	14.1905432	0.03906217748	0.03884227208	0.03880179897	0.03847032625	12.135562	12.348927	12.362081	12.400322	0.02756609282	0.02769527346	0.02775458378	0.02774122728
5	14.4737532	14.3017256	14.2806004	14.2522624	0.03909748143	0.03892961864	0.03890431686	0.03869892097	12.135562	12.345251	12.322239	12.331819	0.02756609282	0.0276332778	0.02771052415	0.02767159295
6	14.4697112	14.3240136	14.306248	14.284976	0.03905482032	0.03890278317	0.03889013318	0.0387386257	12.135562	12.310426	12.28582	12.29794	0.02756609282	0.02762272805	0.02769318982	0.02764717354
7	14.4694132	14.3460004	14.3295928	14.3137684	0.03907044206	0.03894847651	0.03894168621	0.03883100092	12.135562	12.227479	12.250108	12.267719	0.02756609282	0.0276829885	0.0276874073	0.02763175692
8	14.4807272	14.3711388	14.3560472	14.3425168	0.03909819054	0.03899160579	0.03899070977	0.03890053652	12.135562	12.257383	12.229867	12.239088	0.02756609282	0.02761915677	0.02768238913	0.02763716456
9	14.4833092	14.3855044	14.3705204	14.3587628	0.03909818557	0.03900162811	0.03900490775	0.0389220168	12.135562	12.239614	12.216564	12.221263	0.02756609282	0.02761089904	0.02767486293	0.02763490019
10	14.4699412	14.382676	14.3677536	14.3579336	0.03908142264	0.0389955357	0.03899828211	0.03892345379	12.135562	12.233405	12.205896	12.211581	0.02756609282	0.02760981058	0.0276694535	0.02763059274
11	14.4777992	14.3972036	14.382586	14.3732976	0.03910415254	0.0390242418	0.03902828914	0.03895309265	12.135562	12.221801	12.196835	12.199846	0.02756609282	0.02760843906	0.02766446971	0.02763052121
12	14.4828032	14.4098368	14.3956388	14.3881564	0.03909817803	0.03902896725	0.03903308672	0.03896709766	12.135562	12.214418	12.187378	12.190354	0.02756609282	0.02761794274	0.02766577893	0.02762879155
13	14.4768352	14.40607	14.3929316	14.3856108	0.03911123055	0.03904024435	0.03904785592	0.03898701593	12.135562	12.198845	12.178906	12.181453	0.02756609282	0.02761892717	0.02766539964	0.02763155229
14	14.4786292	14.4136776	14.4003548	14.3932968	0.03911575342	0.03904770997	0.03905619753	0.03899302035	12.135562	12.204606	12.173193	12.175253	0.02756609282	0.02759494299	0.0276616798	0.02763120121
15	14.4789532	14.4202656	14.4069592	14.4006532	0.03913119946	0.0390668054	0.0390751517	0.03902228152	12.135562	12.203986	12.168677	12.171102	0.02756609282	0.02759101836	0.02766031	0.0276290156
16	14.4775772	14.42189	14.4084072	14.4024048	0.0390952578	0.03904316866	0.03905109066	0.03899489806	12.135562	12.19698	12.164222	12.165973	0.02756609282	0.02760103464	0.02765881598	0.02762860374
