n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	7.925209	1.673102	1.673102	1.673102	0.02315101098	0.007930634259	0.007930634259	0.007930634259	9.812951	5	5	5	0.02479949915	0	0	0
1	7.921661	7.108412	5.970396	4.158867	0.02313225889	0.02219140434	0.01858592936	0.01247972323	9.812951	9.533304	9.135856	7.619695	0.02479949915	0.02404026631	0.02043443511	0.01147269243
2	7.926697	7.468682	7.182937	5.711405	0.02316798874	0.02263634391	0.02193762047	0.01563721996	9.812951	9.597246	9.502129	8.657815	0.02479949915	0.02447225022	0.02401624284	0.0171112336
3	7.925567	7.607265	7.451354	6.574701	0.02317263086	0.02280668243	0.02255249843	0.0179201765	9.812951	9.720363	9.603758	9.083531	0.02479949915	0.02448912462	0.0244358071	0.01994655409
4	7.936977	7.69395	7.583194	7.049933	0.02320505273	0.02292761976	0.02279248277	0.01962493983	9.812951	9.744728	9.628408	9.316831	0.02479949915	0.02458655356	0.02460352822	0.02179803907
5	7.923873	7.727145	7.637866	7.306727	0.02315850931	0.02293592034	0.02286903182	0.02084008825	9.812951	9.729423	9.648944	9.533135	0.02479949915	0.02466726364	0.02469089666	0.02316348264
6	7.931821	7.765601	7.689274	7.479317	0.02318751031	0.02299612979	0.02295535152	0.02159400712	9.812951	9.769291	9.659662	9.561539	0.02479949915	0.02464171386	0.0247401077	0.02367911399
7	7.926993	7.783727	7.715044	7.571413	0.0231773822	0.02302039524	0.02299763156	0.0220744503	9.812951	9.777389	9.66792	9.602343	0.02479949915	0.02468019453	0.0247776371	0.0240930703
8	7.922441	7.794748	7.731724	7.627778	0.02317267271	0.02302740028	0.0230202136	0.02239357472	9.812951	9.76304	9.672912	9.638776	0.02479949915	0.02471707244	0.02480218692	0.02435485303
9	7.921247	7.807201	7.748725	7.674661	0.02315805556	0.02302533903	0.02302513551	0.02260851416	9.812951	9.785899	9.676355	9.646891	0.02479949915	0.02469541966	0.02482027528	0.02449627644
10	7.929575	7.828497	7.772501	7.711082	0.02317003197	0.0230541239	0.02306316348	0.02274144401	9.812951	9.785777	9.679369	9.65348	0.02479949915	0.02471370882	0.02483315044	0.02459090107
11	7.925091	7.832154	7.778939	7.728131	0.02316932667	0.02306131287	0.02307656586	0.02282744794	9.812951	9.777734	9.682289	9.662727	0.02479949915	0.0247372097	0.02484500031	0.0246381951
12	7.932901	7.846193	7.793461	7.750658	0.02314548923	0.02304767814	0.02306538919	0.02286600554	9.812951	9.777953	9.684065	9.666752	0.02479949915	0.02474034357	0.0248526121	0.02468568766
13	7.929857	7.853011	7.801809	7.764455	0.02317202245	0.02308965603	0.02310636047	0.02293589542	9.812951	9.793719	9.686339	9.673165	0.02479949915	0.02473171061	0.02485967317	0.02471026226
14	7.925487	7.851075	7.803044	7.769196	0.02316901223	0.02308225146	0.02310189545	0.02295289486	9.812951	9.786581	9.687634	9.674052	0.02479949915	0.02474839548	0.02486634245	0.02473284409
15	7.929001	7.859049	7.810212	7.781182	0.02316674282	0.02308620348	0.02310646531	0.02298006797	9.812951	9.786085	9.689522	9.675572	0.02479949915	0.02475182668	0.02487327468	0.02475650947
16	7.928453	7.864472	7.816302	7.789144	0.02315707341	0.02308935729	0.02311319411	0.02299596154	9.812951	9.798908	9.690306	9.679692	0.02479949915	0.02474226193	0.02487671647	0.02476835493
17	7.930281	7.869972	7.823061	7.797907	0.02317063903	0.02310309672	0.02312786769	0.02301607072	9.812951	9.792774	9.691439	9.680797	0.02479949915	0.0247565488	0.02488038593	0.02478317893
18	7.926809	7.870637	7.823717	7.801715	0.02317010846	0.02310591913	0.02313710064	0.02304062194	9.812951	9.783089	9.692715	9.681591	0.02479949915	0.02477030074	0.0248861099	0.02479344242
19	7.926897	7.872223	7.827543	7.805768	0.02316819877	0.02310969741	0.02313433316	0.02304211446	9.812951	9.802531	9.693613	9.683602	0.02479949915	0.02475256076	0.02488920995	0.02480372283
20	7.928129	7.876337	7.830628	7.811174	0.02316260442	0.0231049475	0.02313125855	0.02305023125	9.812951	9.796399	9.693786	9.683336	0.02479949915	0.02476447266	0.0248924698	0.02481085091
21	7.923005	7.874194	7.829156	7.809666	0.0231518275	0.02309686119	0.02312683988	0.02304086844	9.812951	9.787926	9.69494	9.685784	0.02479949915	0.02477446919	0.02489529534	0.02481642857
22	7.928101	7.88186	7.837788	7.820447	0.02317148916	0.02312021816	0.02314879611	0.02307418541	9.812951	9.798234	9.6951	9.685411	0.02479949915	0.02476672567	0.02489625525	0.02482201582
23	7.925685	7.882658	7.839389	7.821756	0.02316717247	0.02312234371	0.02314987344	0.02307462672	9.812951	9.799882	9.695321	9.68542	0.02479949915	0.0247672115	0.02489792552	0.02482976829
24	7.932989	7.891092	7.847349	7.831885	0.02316450992	0.02311977336	0.02315039928	0.02308150267	9.812951	9.791956	9.695837	9.687045	0.02479949915	0.02477609242	0.0248996204	0.02483579634
25	7.925499	7.884889	7.842649	7.827437	0.02317377256	0.02313106153	0.02316241718	0.02309798521	9.812951	9.801249	9.696671	9.687247	0.02479949915	0.02477055466	0.02490289984	0.02484089503
26	7.925979	7.887374	7.844119	7.829807	0.02315379478	0.02311525636	0.02314326847	0.02308089343	9.812951	9.802212	9.697373	9.687313	0.02479949915	0.02477110714	0.02490496745	0.02484212641
27	7.922351	7.883887	7.840682	7.826427	0.02315798992	0.0231106616	0.02314069891	0.02307894366	9.812951	9.795225	9.697684	9.688075	0.02479949915	0.0247769457	0.02490463436	0.02484653343
28	7.929315	7.892931	7.850642	7.836483	0.02317527393	0.02313141036	0.0231613816	0.0230940869	9.812951	9.803071	9.698204	9.687543	0.02479949915	0.02477252628	0.02490758381	0.02484802261
29	7.924137	7.88785	7.845685	7.832255	0.02316756775	0.02312117084	0.02315465173	0.02309473876	9.812951	9.803772	9.698601	9.687371	0.02479949915	0.02477203768	0.02490940729	0.02485220665
30	7.926767	7.892456	7.850449	7.837902	0.02316709517	0.02313076373	0.02316364795	0.02309850505	9.812951	9.797366	9.698157	9.687088	0.02479949915	0.02477914923	0.02490894987	0.02485433695
31	7.930619	7.89753	7.854909	7.842922	0.02316947205	0.02313679036	0.02316715766	0.02310960851	9.812951	9.803806	9.698461	9.687068	0.02479949915	0.02477433764	0.02490980376	0.02485712402
32	7.927203	7.89422	7.852538	7.840289	0.02317122937	0.02313413747	0.02316799698	0.0231075043	9.812951	9.804266	9.699144	9.687227	0.02479949915	0.02477395062	0.02491177157	0.02485944973
33	7.928349	7.896269	7.854476	7.843331	0.02317397485	0.0231365188	0.02316991918	0.02311712184	9.812951	9.798867	9.699196	9.687219	0.02479949915	0.02478014399	0.02491208225	0.02486186844
34	7.927001	7.896317	7.854506	7.843543	0.02316342477	0.0231308988	0.02316375989	0.02311238027	9.812951	9.805155	9.699604	9.687069	0.02479949915	0.02477581663	0.02491419488	0.02486675599
35	7.924459	7.895639	7.853753	7.843115	0.02315092596	0.02312078133	0.02315413698	0.02310232063	9.812951	9.802001	9.700181	9.686807	0.02479949915	0.0247825633	0.02491462904	0.02486895919
36	7.925303	7.89648	7.855115	7.844335	0.02315358701	0.02312176875	0.02315738987	0.02310167936	9.812951	9.800712	9.700355	9.686173	0.02479949915	0.02478171404	0.02491590526	0.02487014772
37	7.928547	7.899799	7.858421	7.847863	0.02315138368	0.02311917316	0.02315191076	0.02309904216	9.812951	9.805315	9.700683	9.685863	0.02479949915	0.0247769935	0.02491605332	0.02487035342
38	7.930213	7.901366	7.860231	7.850124	0.02318559752	0.02315478059	0.02318730711	0.02313784645	9.812951	9.803172	9.700561	9.685822	0.02479949915	0.02478179469	0.02491670187	0.02487283966
39	7.926999	7.901307	7.860227	7.850568	0.02315271613	0.02312543208	0.02315832707	0.02310685681	9.812951	9.802119	9.700949	9.685466	0.02479949915	0.02478166597	0.0249165972	0.02487473609
40	7.924483	7.898681	7.857715	7.847406	0.02313979051	0.02311243656	0.0231437412	0.02309723111	9.812951	9.806467	9.700789	9.685306	0.02479949915	0.02477711577	0.02491653586	0.02487680975
41	7.922509	7.897006	7.855785	7.846232	0.02317532561	0.02314379633	0.02317719872	0.02312946154	9.812951	9.804332	9.700827	9.684682	0.02479949915	0.02478166364	0.02491632284	0.02487824654
42	7.926591	7.902771	7.861944	7.851942	0.02317687278	0.02314747379	0.0231810575	0.02313559177	9.812951	9.803175	9.700746	9.684028	0.02479949915	0.02478175579	0.02491687067	0.02488050116
43	7.927263	7.902808	7.862426	7.852417	0.02315496583	0.02312458112	0.02315859405	0.02311213096	9.812951	9.807598	9.70106	9.683433	0.02479949915	0.02477742892	0.02491805841	0.024882561
44	7.927145	7.902972	7.862568	7.852971	0.02316242543	0.02313319731	0.02316580077	0.02311932642	9.812951	9.805606	9.70113	9.683225	0.02479949915	0.02478208815	0.02491807644	0.02488627613
45	7.931859	7.908955	7.868222	7.859505	0.02317377051	0.02314866008	0.02318190151	0.02313721262	9.812951	9.804989	9.70142	9.682693	0.02479949915	0.02478223067	0.02491784035	0.02488654153
46	7.925997	7.903452	7.862897	7.853566	0.02316545071	0.02314001682	0.02317375575	0.02312791066	9.812951	9.806428	9.701449	9.681892	0.02479949915	0.02478088868	0.02491829918	0.0248885431
47	7.922009	7.899347	7.858629	7.849173	0.02315219334	0.02312733053	0.02316169583	0.02311814187	9.812951	9.806351	9.701865	9.681447	0.02479949915	0.02478281501	0.02491947547	0.02488959667
48	7.928643	7.906699	7.866195	7.856964	0.02316018728	0.02313578465	0.02316892107	0.02312375653	9.812951	9.802835	9.702009	9.680878	0.02479949915	0.0247873392	0.02492101532	0.02489308959
49	7.924585	7.90284	7.862211	7.852751	0.02315960477	0.02313593226	0.0231696085	0.02312285974	9.812951	9.807458	9.701953	9.680041	0.02479949915	0.02478176437	0.02492078322	0.02489345534
50	7.928247	7.906715	7.867112	7.85826	0.02315597836	0.02313045022	0.02316468905	0.02312429621	9.812951	9.806999	9.702102	9.678754	0.02479949915	0.02478266671	0.02492142817	0.02489577529
51	7.923255	7.902993	7.86211	7.853512	0.02316464231	0.0231383855	0.02317328765	0.02312877938	9.812951	9.803887	9.702076	9.677562	0.02479949915	0.02478759459	0.02492117694	0.02489676459
