NVLearning-Simulation.byPeriod.l50.b1.c0.9.txtn	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	6.6465291	3.861424	3.861424	3.861424	0.01141165597	0.009135579137	0.009135579137	0.009135579137	9.459359	8	8	8	0.01217457323	0	0	0
1	6.6568791	5.8674454	5.5762047	5.0911984	0.01142124347	0.01095325617	0.01037347298	0.009608278432	9.459359	9.040226	8.939523	8.757136	0.01217457323	0.01086035356	0.009632445811	0.007558921869
2	6.6549711	6.1892551	6.0464214	5.6472055	0.01141527378	0.01115668187	0.01092077169	0.009882366336	9.459359	9.217639	9.154626	8.918535	0.01217457323	0.01146234016	0.011044994	0.009141883807
3	6.6546471	6.3213203	6.226965	5.9389603	0.01141608088	0.01123293122	0.01111368797	0.01033910478	9.459359	9.292407	9.25373	9.128947	0.01217457323	0.01168569468	0.01144602095	0.0102027319
4	6.6529391	6.3950522	6.3252604	6.1113523	0.01142026912	0.01128720963	0.01121193786	0.01067290094	9.459359	9.339618	9.301836	9.262667	0.01217457323	0.01177047377	0.01164490852	0.01085166204
5	6.6567711	6.4423933	6.387011	6.2302877	0.01141938278	0.01131879934	0.01126059939	0.0107459662	9.459359	9.368837	9.32961	9.211253	0.01217457323	0.01187937794	0.01176293657	0.01099502991
6	6.6536531	6.4758526	6.4304647	6.3085507	0.01141844037	0.01132955747	0.01128780501	0.01094648144	9.459359	9.384694	9.349663	9.297203	0.01217457323	0.01189792543	0.01183771483	0.01137026645
7	6.6525991	6.4969371	6.4587205	6.3618064	0.01142564051	0.01134370155	0.01131058518	0.01103602002	9.459359	9.394179	9.364205	9.312656	0.01217457323	0.01194358918	0.01189121396	0.0114848338
8	6.6524331	6.5162265	6.4835027	6.4035646	0.01142527291	0.0113533435	0.01133166496	0.01112565522	9.459359	9.394505	9.374223	9.337254	0.01217457323	0.01198224743	0.01193307481	0.01167572102
9	6.6497151	6.5266822	6.4958424	6.4300668	0.01141900986	0.0113630293	0.01134386369	0.01118116386	9.459359	9.404378	9.382616	9.351572	0.01217457323	0.01199955571	0.01196445076	0.01173039498
10	6.6560051	6.5467625	6.5194618	6.4642571	0.01140425129	0.01134652947	0.01133376316	0.01121459564	9.459359	9.404925	9.388402	9.365139	0.01217457323	0.01201768503	0.01198738809	0.01183196772
11	6.6517071	6.5495842	6.5254857	6.4771986	0.01141242627	0.01136324256	0.01135223946	0.01125072392	9.459359	9.409578	9.394293	9.372934	0.01217457323	0.01203381894	0.01200550504	0.01186447188
12	6.6537451	6.5614806	6.5389061	6.4947601	0.01142100296	0.01137215244	0.01136157866	0.01127469646	9.459359	9.416354	9.398669	9.379869	0.01217457323	0.01203536608	0.01202051935	0.01191807192
13	6.6528431	6.5664366	6.5458631	6.5069402	0.01141712843	0.01137587157	0.01136275655	0.01129437128	9.459359	9.421314	9.402119	9.383878	0.01217457323	0.01205277491	0.01203338149	0.01193868175
14	6.6546411	6.5736945	6.5549032	6.5196211	0.01142588619	0.01138363523	0.0113762276	0.01131616034	9.459359	9.420225	9.405568	9.389419	0.01217457323	0.01206350748	0.01204496091	0.01196454786
15	6.6572071	6.5818558	6.563526	6.5334024	0.01141962727	0.01137346368	0.01136764236	0.0113176764	9.459359	9.421462	9.40822	9.392696	0.01217457323	0.0120627266	0.01205536145	0.01198211711
16	6.6561871	6.5870436	6.5709275	6.5414604	0.01141582602	0.01138230196	0.01137312352	0.01132593829	9.459359	9.429284	9.410935	9.396316	0.01217457323	0.01207018816	0.01206357395	0.01200354777
17	6.6609871	6.5937387	6.5780548	6.5514445	0.01141719952	0.01138017831	0.01137603014	0.01133473313	9.459359	9.424803	9.413252	9.399585	0.01217457323	0.01207497341	0.01207110817	0.01201758595
18	6.6565431	6.5927988	6.5782113	6.5530606	0.01142366251	0.01139137733	0.01138583638	0.01134992345	9.459359	9.430772	9.415977	9.402634	0.01217457323	0.0120802907	0.01207892171	0.01202882221
19	6.6547871	6.5958014	6.5818864	6.5589738	0.01141988929	0.01138654329	0.01138241258	0.01134917445	9.459359	9.429906	9.417616	9.406162	0.01217457323	0.01208721955	0.01208375414	0.01204048056
20	6.6530991	6.5958458	6.5825611	6.5605827	0.01142228918	0.01139408368	0.0113887155	0.01135897126	9.459359	9.431942	9.419219	9.407423	0.01217457323	0.01209742457	0.01208953111	0.01204880588
21	6.6578931	6.6025661	6.5893594	6.5698005	0.01142082888	0.01139493848	0.01139016376	0.0113625998	9.459359	9.432589	9.420686	9.409125	0.01217457323	0.01210011137	0.01209516324	0.01205754462
22	6.6616931	6.6101909	6.5981117	6.5781834	0.01141625422	0.01138899758	0.01138461247	0.01135754277	9.459359	9.436181	9.421773	9.410986	0.01217457323	0.01210246551	0.01209797209	0.01206488223
23	6.6554771	6.6064531	6.5943856	6.5759428	0.01142480579	0.01140185155	0.0113981489	0.0113754589	9.459359	9.438059	9.423524	9.412392	0.01217457323	0.01209506065	0.01210339018	0.01207150885
24	6.6553011	6.6085699	6.597325	6.5794742	0.01142304086	0.01140077845	0.01139585858	0.01137334983	9.459359	9.442151	9.42441	9.413538	0.01217457323	0.01209648606	0.01210696304	0.01207960837
25	6.6577571	6.6122306	6.6013998	6.5846026	0.01140928624	0.01138574756	0.01138173377	0.01136201106	9.459359	9.441654	9.425722	9.415394	0.01217457323	0.01210086982	0.01211038702	0.01208416408
26	6.6546111	6.6116283	6.6009444	6.5852278	0.01142361959	0.01140418887	0.01139662555	0.01137710912	9.459359	9.443607	9.426516	9.416122	0.01217457323	0.01210588569	0.01211331541	0.01208925466
27	6.6540911	6.6112227	6.6013997	6.5861992	0.01141318756	0.01139302556	0.01138915718	0.01137076152	9.459359	9.440763	9.427293	9.417848	0.01217457323	0.01210738169	0.01211644288	0.01209267062
28	6.6554271	6.61552	6.6049944	6.5913275	0.0114122376	0.01139151869	0.01138776067	0.01136942695	9.459359	9.44286	9.428136	9.418095	0.01217457323	0.01211493856	0.01211883545	0.0120963981
29	6.6575731	6.6183656	6.6086477	6.595315	0.01142607047	0.01140633461	0.01140284965	0.01138736851	9.459359	9.441984	9.428373	9.41857	0.01217457323	0.01211312291	0.01212102379	0.01210125576
30	6.6587571	6.6200883	6.61146	6.5981317	0.01142422731	0.01140589461	0.01140171232	0.01138537925	9.459359	9.443267	9.42906	9.419793	0.01217457323	0.01211867122	0.01212439394	0.01210497951
31	6.6545371	6.6177542	6.6091819	6.5964693	0.01142150255	0.01140374402	0.01139943225	0.01138166241	9.459359	9.442958	9.429891	9.420557	0.01217457323	0.01212250453	0.01212597796	0.01210796357
32	6.6561551	6.6209213	6.6131103	6.6005522	0.01142859618	0.01141165362	0.01140671143	0.01139455169	9.459359	9.445157	9.430387	9.421498	0.01217457323	0.01212151292	0.01212871856	0.01211203621
33	6.6523131	6.6170973	6.6085098	6.5966851	0.01142585724	0.01140767665	0.01140563736	0.01139292621	9.459359	9.444537	9.431142	9.422059	0.01217457323	0.01212441395	0.01213113003	0.01211593265
34	6.6563831	6.6224577	6.6139313	6.602831	0.01142817706	0.01141332042	0.01140883482	0.01139404614	9.459359	9.444993	9.431857	9.42237	0.01217457323	0.0121284047	0.01213220698	0.01211862275
35	6.6572371	6.6239268	6.6159308	6.6051482	0.01141357608	0.01139923878	0.01139553699	0.01138161531	9.459359	9.446292	9.432312	9.422678	0.01217457323	0.01212850625	0.01213478512	0.01212067923
36	6.6584131	6.626669	6.6194267	6.6088012	0.01141909045	0.01140771517	0.01140100335	0.01138768711	9.459359	9.44893	9.432883	9.423348	0.01217457323	0.01212632345	0.01213611799	0.01212311427
37	6.6551191	6.6232695	6.6161313	6.6058908	0.01142532576	0.01141244584	0.01140753691	0.0113947965	9.459359	9.449235	9.433237	9.424012	0.01217457323	0.01212863413	0.01213703679	0.01212587675
