n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	14.4963347	13.7256	13.7256	13.7256	0.01015180545	0.01025594194	0.01025594194	0.01025594194	19.277943	19	19	19	0.006134965466	0	0	0
1	14.4973027	13.9618859	13.9384079	13.8940371	0.01015724511	0.01012635227	0.01013847106	0.009946283994	19.277943	19.002191	19.008871	18.869839	0.006134965466	0.003621067835	0.003463926931	0.00284885931
2	14.5002787	14.0952156	14.0672389	14.0094348	0.01013757524	0.01019492112	0.01017035107	0.01007295585	19.277943	19.127164	19.106361	19.035312	0.006134965466	0.004418859187	0.004203860042	0.003567078507
3	14.5058367	14.1713802	14.1439491	14.0839372	0.01014413664	0.01023098535	0.01017579397	0.01011688333	19.277943	19.190618	19.144159	19.102348	0.006134965466	0.004781903841	0.004616763558	0.004107534959
4	14.5074607	14.230116	14.2049122	14.1464387	0.01013805635	0.01019169919	0.01016422425	0.01013135175	19.277943	19.19364	19.166378	19.138043	0.006134965466	0.004969075085	0.00488636317	0.00454775608
5	14.5020487	14.2636914	14.2418241	14.187336	0.01013548799	0.01017154651	0.01016556722	0.01017968452	19.277943	19.194206	19.182309	19.19014	0.006134965466	0.005169624374	0.005081134767	0.004834678753
6	14.5016347	14.2927191	14.2717169	14.2211922	0.01014246752	0.01016926497	0.01016987561	0.01016890907	19.277943	19.198379	19.195061	19.188298	0.006134965466	0.00532960516	0.0052190878	0.005004046356
7	14.5030907	14.3127539	14.2935019	14.2455509	0.01015531039	0.01018453344	0.01017761911	0.01015638898	19.277943	19.214651	19.204431	19.184901	0.006134965466	0.005420950269	0.005326061297	0.005051671492
8	14.4971387	14.3289006	14.3098395	14.2670553	0.01014748962	0.01017343611	0.0101731885	0.01015544023	19.277943	19.217974	19.211115	19.195317	0.006134965466	0.005487445283	0.005410843704	0.00519221472
9	14.4962267	14.3409691	14.3240848	14.2833692	0.0101459976	0.01017632719	0.01017090653	0.01016723292	19.277943	19.227899	19.217092	19.208028	0.006134965466	0.005549041794	0.005481231335	0.005306440626
10	14.5022667	14.3611129	14.346812	14.3083485	0.01013615488	0.01016268772	0.0101548135	0.01013928606	19.277943	19.232881	19.2214	19.204505	0.006134965466	0.005594503911	0.005536417526	0.005345473811
11	14.4965767	14.3659785	14.3522279	14.3159036	0.01015454022	0.01018254281	0.0101733468	0.01016386939	19.277943	19.237825	19.225851	19.215304	0.006134965466	0.005645130252	0.005587072207	0.005424914558
12	14.4964667	14.3740368	14.3609974	14.3250065	0.01015234175	0.01016830828	0.01016844785	0.01015881973	19.277943	19.233532	19.228866	19.217445	0.006134965466	0.005678270262	0.005627282745	0.005483397144
13	14.4978807	14.3837813	14.3705254	14.3383032	0.01015620663	0.01016957656	0.01016981948	0.01015896519	19.277943	19.235637	19.232106	19.220348	0.006134965466	0.005713705154	0.005662463796	0.005521574542
14	14.4929367	14.3878196	14.375837	14.345087	0.01015296756	0.01016571312	0.01016676228	0.01015802158	19.277943	19.238084	19.23459	19.22443	0.006134965466	0.005749469697	0.005693612083	0.005564772146
15	14.5034487	14.4048163	14.3930092	14.3650266	0.01013621674	0.01015293861	0.01015091699	0.01014229042	19.277943	19.241847	19.236568	19.226074	0.006134965466	0.005772596879	0.005719247119	0.005597158346
16	14.4988647	14.4052078	14.3955654	14.368649	0.01014954396	0.01016970986	0.01016211495	0.01015736035	19.277943	19.249502	19.239166	19.22923	0.006134965466	0.005790982275	0.005743624817	0.005630004339
17	14.4956467	14.4035857	14.3931046	14.3674176	0.01015200966	0.01016611329	0.0101622517	0.0101566785	19.277943	19.247213	19.241134	19.231724	0.006134965466	0.005805654163	0.005765809341	0.005657083701
