n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	25.659846	23.857356	23.857356	23.857356	0.01547658615	0.01633714662	0.01633714662	0.01633714662	29.837002	30	30	30	0.01074338304	0	0	0
1	25.666024	24.690403	24.639358	24.500253	0.01548737312	0.01570946504	0.01560317786	0.01571680728	29.837002	29.752993	29.697974	29.831669	0.01074338304	0.00759967691	0.007286523509	0.006790828855
2	25.65835	24.986688	24.942724	24.805825	0.01549855742	0.0155277538	0.01554400887	0.01535449644	29.837002	29.671016	29.69926	29.619895	0.01074338304	0.00877495296	0.0086283445	0.00789398496
3	25.66172	25.151264	25.114978	24.992896	0.01549423441	0.01542059407	0.01552638898	0.01539306152	29.837002	29.629338	29.731222	29.685786	0.01074338304	0.009304749065	0.009209573548	0.008693404786
4	25.65353	25.238608	25.207203	25.103844	0.01548952485	0.01559046952	0.01553594698	0.01544103008	29.837002	29.804324	29.764753	29.742166	0.01074338304	0.009608434763	0.009496676603	0.009101422704
5	25.65859	25.30498	25.278066	25.189965	0.01549157438	0.01550107753	0.01551911143	0.01547477839	29.837002	29.751916	29.772666	29.775519	0.01074338304	0.009804978577	0.009720902091	0.009438583959
6	25.657044	25.358019	25.33475	25.25736	0.01549917979	0.0154604797	0.01552952506	0.01547029827	29.837002	29.715933	29.781288	29.765666	0.01074338304	0.009940788948	0.009869646981	0.009549286412
7	25.647724	25.383767	25.363191	25.292931	0.01550471453	0.01556165066	0.01553362263	0.01548881253	29.837002	29.814559	29.789111	29.783305	0.01074338304	0.01004455749	0.009980009512	0.009759013219
8	25.666992	25.429383	25.410774	25.348826	0.01547406284	0.0154861702	0.0155014113	0.01545853983	29.837002	29.778747	29.79322	29.781878	0.01074338304	0.01012568681	0.01006942106	0.009856634426
9	25.66258	25.446114	25.427962	25.373266	0.01549723133	0.01547097126	0.015520771	0.01548986784	29.837002	29.752276	29.798472	29.792138	0.01074338304	0.01018787032	0.01013907777	0.009969257356
10	25.660998	25.465341	25.448748	25.398626	0.01549124089	0.01553123856	0.0155118293	0.01548579959	29.837002	29.821049	29.802302	29.796402	0.01074338304	0.01023904728	0.01019447958	0.01003640925
